track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url
nurburgring,1998-06-14,2,BMW 320d - BMW,1,Class 2,Team BMW Motorsport Nürburg,Closed bodywork,Front-engined,/Andy Bovensiepen (D)/Marc Duez (B)/Christian Menzel (D)/Hans-Joachim Stuck (D),NA,NA,NA,NA,NA,BMW,320d,NA,Result: winner - (144.830 kph) - margin: 6 lapsGrid:,winner - (144.830 kph) - margin: 6 lapsGrid:,finished,NA,NA,144.830 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320d.html,NA
nurburgring,1998-06-14,205,BMW 320i - BMW,2,Class 1,,Closed bodywork,Front-engined,Georg Severich (D)/Ulli Richter (D)/Uwe Schirrmeister/Karl-Heinz Wlazik (D),NA,NA,NA,NA,NA,BMW,320i,NA,Result: 2nd 1st in Class 1 (6 laps behind the winner)Grid:,2nd 1st in Class 1 (6 laps behind the winner)Grid:,finished,NA,NA,6 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320i.html,NA
nurburgring,1998-06-14,1,BMW M3 E36 - BMW,3,Class 15,Dürener Motorsport Club e. V. im ADAC,Closed bodywork,Front-engined,Werner Kather (D)/Harald Grohs (D)/Artur Deutgen (D)/Michael Funke (D),NA,NA,NA,NA,NA,BMW,M3,E36,Result: 3rd 1st in Class 15 (7 laps behind the winner)Grid:,3rd 1st in Class 15 (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E36.html
nurburgring,1998-06-14,216,BMW M3 - BMW,4,Class 3,Scuderia Augustusburg Brühl e. V. im ADAC,Closed bodywork,Front-engined,Johannes Scheid (D)/Sabine Reck/Stefan Schlesack (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 4th 1st in Class 3 (7 laps behind the winner)Grid:,4th 1st in Class 3 (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1998-06-14,22,BMW M3 - BMW,5,Class 16,Duller Motorsport,Closed bodywork,Front-engined,Edi Orioli (I)/Filippo Salvarini (I)/Luca Cappellari (I),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 5th 1st in Class 16 (9 laps behind the winner)Grid:,5th 1st in Class 16 (9 laps behind the winner)Grid:,finished,NA,NA,9 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1998-06-14,83,BMW M3 3.2 - BMW,6,Class 3,,Closed bodywork,Front-engined,Michael Bäder/Tobias Hagenmeyer (D)/Reinhard Schall (D),NA,NA,NA,NA,NA,BMW,M3,3.2,Result: 6th (9 laps behind the winner)Grid:,6th (9 laps behind the winner)Grid:,finished,NA,NA,9 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/3.2.html
nurburgring,1998-06-14,4,Opel Astra - Opel,7,Class 6,Kissling Motorsport,-,-,Stefan Kissling (D)/Volker Strycek (D)/Alexander Burgstaller (D),NA,NA,NA,NA,NA,Opel,Astra,NA,Result: 7th 1st in Class 6 (11 laps behind the winner)Grid:,7th 1st in Class 6 (11 laps behind the winner)Grid:,finished,NA,NA,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Astra.html,NA
nurburgring,1998-06-14,204,VW Golf III Kit Car - VW,8,Class 1,,-,-,Florian Billen/Kurt Thiim (DK)/Mario Merten (D)/Michael Dernedde,NA,NA,NA,NA,NA,VW,Golf,III Kit Car,Result: 8th (11 laps behind the winner)Grid:,8th (11 laps behind the winner)Grid:,finished,NA,NA,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/III%20Kit%20Car.html
nurburgring,1998-06-14,3,BMW M3 - BMW,9,Class 15,MK-Motorsport,Closed bodywork,Front-engined,Michael Krankenberg (D)/Frank Schmickler (A)/Peter Oberndorfer (D)/Horst von Saurma-Jeltsch (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 9th (13 laps behind the winner)Grid:,9th (13 laps behind the winner)Grid:,finished,NA,NA,13 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1998-06-14,104,VW Golf III Kit Car - VW,10,Class 1,,-,-,Michael Dernedde/Edgar Dören (D)/Otto Hofmayer/Ludwig Damminger,NA,NA,NA,NA,NA,VW,Golf,III Kit Car,Result: 10th (13 laps behind the winner)Grid:,10th (13 laps behind the winner)Grid:,finished,NA,NA,13 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/III%20Kit%20Car.html
