track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url
nurburgring,1992-06-21,2,BMW M3 - BMW,1,Class 12,FINA Motorsport Team,Closed bodywork,Front-engined,Johnny Cecotto (YV)/Christian Danner (D)/Marc Duez (B)/Jean-Michel Martin (B),NA,NA,NA,NA,NA,BMW,M3,NA,Result: winner - (102.120 kph)Grid:,winner - (102.120 kph)Grid:,finished,NA,NA,102.120 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1992-06-21,1,BMW M3 - BMW,2,Class 12,BMW M Team Schnitzer,Closed bodywork,Front-engined,Joachim Winkelhock (D)/Armin Hahne (D)/Altfrid Heger (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 2nd (0 laps behind the winner)Grid:,2nd (0 laps behind the winner)Grid:,finished,NA,NA,0 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1992-06-21,3,Porsche 911 Carrera - Porsche,3,Class 12,"Porsche Zentren Moritz, Strähle und Löhr & Becker",Closed bodywork,Rear-engined,Hans-Joachim Stuck (D)/Walter Röhrl (D)/Olaf Manthey (D)/Frank Biela (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 3rd (2 laps behind the winner)Grid:,3rd (2 laps behind the winner)Grid:,finished,NA,NA,2 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1992-06-21,5,Opel Omega 3000 - Opel,4,Class 12,(D),-,-,Klaus-Peter Thaler/Volker Strycek (D)/Günther Schmidt (D),NA,NA,NA,NA,NA,Opel,Omega,3000,Result: 4th (3 laps behind the winner)Grid:,4th (3 laps behind the winner)Grid:,finished,NA,NA,3 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Omega.html,https://www.racingsportscars.com/suffix/photo/Opel/Omega/3000.html
nurburgring,1992-06-21,14,Porsche 911 Carrera - Porsche,5,Class 12,,Closed bodywork,Rear-engined,Heinz Dorr/Günter Döbler (D)/Walter Hering (D)/Rainer Klaus,NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 5th (4 laps behind the winner)Grid:,5th (4 laps behind the winner)Grid:,finished,NA,NA,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1992-06-21,176,Porsche 911 Carrera - Porsche,6,Class 13,,Closed bodywork,Rear-engined,Ulli Richter (D)/Karl-Heinz Wlazik (D)/Frank Katthöfer (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 6th 1st in Class 13 (4 laps behind the winner)Grid:,6th 1st in Class 13 (4 laps behind the winner)Grid:,finished,NA,NA,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1992-06-21,11,Porsche 911 Carrera - Porsche,7,Class 12,Heico Dienstleistungen (D),Closed bodywork,Rear-engined,Wolfgang Destree (D)/Dirk Ebeling (D)/Nikolaus Hajmassy/Jan Thoelke (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 7th (5 laps behind the winner)Grid:,7th (5 laps behind the winner)Grid:,finished,NA,NA,5 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1992-06-21,30,Porsche 911 Carrera - Porsche,8,Class 1,Team Matter Sicherheit,Closed bodywork,Rear-engined,Alexander Wurz (A)/Hermann Tilke (D)/Edgar Dören (D)/Raimund Baumschlager (A),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 8th 1st in Class 1 (5 laps behind the winner)Grid:,8th 1st in Class 1 (5 laps behind the winner)Grid:,finished,NA,NA,5 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1992-06-21,7,Porsche 911 Carrera - Porsche,9,Class 12,,Closed bodywork,Rear-engined,Georg Memminger (D)/Roland Kußmaul (D)/Walter Röhrl (D)/Andy Bovensiepen (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 9th (6 laps behind the winner)Grid:,9th (6 laps behind the winner)Grid:,finished,NA,NA,6 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1992-06-21,9,Porsche 911 Carrera - Porsche,10,Class 12,Goebel Sport,Closed bodywork,Rear-engined,Axel Göbel/Manfred Dolata/Rinie van der Velden (NL)/Günther Spindler,NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 10th (6 laps behind the winner)Grid:,10th (6 laps behind the winner)Grid:,finished,NA,NA,6 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
