track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url
nurburgring,1993-06-13,7,Porsche 911 Carrera - Porsche,1,Class 1,Konrad Motorsport,Closed bodywork,Rear-engined,Antonio De Azevedo/Franz Konrad (A)/Örnulf Wirdheim (S)/Frank Katthöfer (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: winner - (135.709 kph)Grid:,winner - (135.709 kph)Grid:,finished,NA,NA,135.709 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1993-06-13,30,Porsche 911 Carrera - Porsche,2,Class 1,Freisinger Motorsport,Closed bodywork,Rear-engined,Edgar Dören (D)/Michael Irmgartz/Wolfgang Kaufmann (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 2nd (0 laps behind the winner)Grid:,2nd (0 laps behind the winner)Grid:,finished,NA,NA,0 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1993-06-13,13,Porsche 911 Carrera - Porsche,3,Class 1,,Closed bodywork,Rear-engined,Uwe Eickwinkel (D)/Herbert Wolf (D)/Dariusch Ahrabian (D)/Marco Werner (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 3rd (1 lap behind the winner)Grid:,3rd (1 lap behind the winner)Grid:,finished,NA,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1993-06-13,35,Porsche 911 Carrera - Porsche,4,Class 1,(D),Closed bodywork,Rear-engined,Jürgen Alzen (D)/Hans Stuckenbrock (D)/Bernd Mayländer (D)/Marco Werner (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 4th (1 lap behind the winner)Grid:,4th (1 lap behind the winner)Grid:,finished,NA,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1993-06-13,58,Opel Omega - Opel,5,Class 2,(D),-,-,Klaus-Peter Thaler/Volker Strycek (D)/Günther Schmidt (D),NA,NA,NA,NA,NA,Opel,Omega,NA,Result: 5th 1st in Class 2 (2 laps behind the winner)Grid:,5th 1st in Class 2 (2 laps behind the winner)Grid:,finished,NA,NA,2 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Omega.html,NA
nurburgring,1993-06-13,21,Opel Omega - Opel,6,Class 1,Kissling Motorsport,-,-,Roland Senge/Heinz-Otto Fritzsche (D)/René Gassen,NA,NA,NA,NA,NA,Opel,Omega,NA,Result: 6th (3 laps behind the winner)Grid:,6th (3 laps behind the winner)Grid:,finished,NA,NA,3 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Omega.html,NA
nurburgring,1993-06-13,60,BMW M3 - BMW,7,Class 2,Scheer Motorsport Team Budde,Closed bodywork,Front-engined,Klaus Scheer (D)/Franz Dufter (D)/Leopold von Bayern (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 7th (3 laps behind the winner)Grid:,7th (3 laps behind the winner)Grid:,finished,NA,NA,3 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1993-06-13,4,Porsche 911 Carrera - Porsche,8,Class 1,Team Matter Sicherheit,Closed bodywork,Rear-engined,Hans Engels/Hermann Tilke (D)/Christoph Dirtl/Raimund Baumschlager (A),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 8th (3 laps behind the winner)Grid:,8th (3 laps behind the winner)Grid:,finished,NA,NA,3 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1993-06-13,38,BMW M3 - BMW,9,Class 2,Point S Racing Partner GmbH,Closed bodywork,Front-engined,Manfred Wollgarten (D)/Helmut Hennes (D)/Marc Gindorf (D)/Ulli Richter (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 9th (4 laps behind the winner)Grid:,9th (4 laps behind the winner)Grid:,finished,NA,NA,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1993-06-13,15,Porsche 911 Carrera - Porsche,10,Class 1,,Closed bodywork,Rear-engined,Stefan Lechtermann/Hanno Lechtermann/Michael Fleissner/Edgar Althoff (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 10th (5 laps behind the winner)Grid:,10th (5 laps behind the winner)Grid:,finished,NA,NA,5 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
