position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,1,"Ogier, Sebastien",Volkswagen Polo R WRC,FR,RC1,"3h 33m 20,4s",NA,NA,NA
2,5,"Hirvonen, Mikko",Ford Fiesta RS WRC,FI,RC1,"+43,2s",NA,NA,NA
3,4,"Ostberg, Mads",Citroen DS3 WRC,NO,RC1,"+1m 12,4s",NA,NA,NA
4,9,"Mikkelsen, Andreas",Volkswagen Polo R WRC,NO,RC1,"+4m 50,5s",NA,NA,NA
5,16,"Solberg, Henning",Ford Fiesta RS WRC,NO,RC1,"+5m 10,2s",NA,NA,NA
6,21,"Prokop, Martin",Ford Fiesta RS WRC,CZ,RC1,"+8m 27,2s",NA,NA,NA
7,7,"Neuville, Thierry",Hyundai i20 WRC,BE,RC1,"+8m 32,3s",0:10,NA,NA
8,8,"Hanninen, Juho",Hyundai i20 WRC,FI,RC1,"+8m 51,6s",0:10,NA,NA
9,40,"al-Attiyah, Nasser",Ford Fiesta,QA,RC2,"+10m 14,7s",NA,NA,NA
10,35,"Ketomaa, Jari",Ford Fiesta,FI,RC2,"+10m 26,3s",NA,NA,NA
11,42,"Tidemand, Pontus",Ford Fiesta,SE,RC2,"+12m 21,7s",NA,NA,NA
12,70,"Kruuda, Karl",Ford Fiesta S2000,EE,RC2,"+12m 35,6s",NA,NA,NA
13,12,"al-Qassimi, Khalid",Citroen DS3 WRC,AE,RC1,"+15m 04,4s",NA,NA,NA
14,2,"Latvala, Jari-Matti",Volkswagen Polo R WRC,FI,RC1,"+15m 53,6s",NA,NA,NA
15,43,"Sousa, Bernardo",Ford Fiesta,PT,RC2,"+16m 43,0s",NA,NA,NA
16,36,"Barrable, Robert",Ford Fiesta,IE,RC2,"+18m 35,2s",NA,NA,NA
17,47,"al-Kuwari, Abdulaziz",Ford Fiesta,QA,RC2,"+18m 45,3s",NA,NA,NA
18,39,"Gorban, Valeriy",Mini John Cooper Works,UA,RC2,"+20m 19,0s",NA,NA,NA
19,45,"Aksa, Subhan",Ford Fiesta,ID,RC2,"+20m 41,9s",NA,NA,NA
20,48,"Kangur, Martin",Ford Fiesta S2000,EE,RC2,"+21m 34,8s",NA,NA,NA
21,46,"al-Ketbi, Rashid",Ford Fiesta,AE,RC2,"+22m 22,7s",NA,NA,NA
22,6,"Evans, Elfyn",Ford Fiesta RS WRC,GB,RC1,"+22m 31,2s",NA,NA,NA
23,41,"Fuchs Sierlecki, Nicolas",Ford Fiesta,PE,RC2,"+25m 29,0s",NA,NA,NA
