position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,1,"Loeb, Sebastien",Citroen C4 WRC,FR,A8,"2h 43m 09,6s",NA,NA,NA
2,4,"Latvala, Jari-Matti",Ford Focus RS WRC 08,FI,A8,"+12,7s",NA,NA,NA
3,2,"Sordo Castillo, Daniel",Citroen C4 WRC,ES,A8,"+1m 20,6s",NA,NA,NA
4,5,"Solberg, Petter",Subaru Impreza WRC2008,NO,A8,"+1m 59,6s",NA,NA,NA
5,12,"Andersson, Per-Gunnar",Suzuki SX4 WRC,SE,A8,"+4m 04,1s",NA,NA,NA
6,7,"Duval, Francois",Ford Focus RS WRC 07,BE,A8,"+5m 07,8s",NA,NA,NA
7,11,"Gardemeister, Toni",Suzuki SX4 WRC,FI,A8,"+5m 25,0s",NA,NA,NA
8,3,"Hirvonen, Mikko",Ford Focus RS WRC 08,FI,A8,"+5m 38,8s",NA,NA,NA
9,8,"Wilson, Matthew",Ford Focus RS WRC 07,GB,A8,"+8m 13,9s",NA,NA,NA
10,20,"Clark, Barry",Ford Focus RS WRC 07,GB,A8,"+9m 53,1s",NA,NA,NA
11,44,"Flodin, Patrik",Subaru Impreza WRX,SE,N4,"+12m 51,7s",NA,NA,NA
12,46,"Rossi, Valentino",Ford Focus RS WRC 07,IT,A8,"+13m 20,4s",NA,NA,NA
13,41,"Aigner, Andreas",Mitsubishi Lancer Evo IX,AT,N4,"+14m 33,8s",NA,NA,NA
14,60,"Wilks, Guy",Mitsubishi Lancer Evo IX,GB,N4,"+14m 59,4s",0:10,NA,NA
15,16,"Rautenbach, Conrad",Citroen C4 WRC,ZW,A8,"+15m 21,3s",NA,NA,NA
16,19,"al-Qassimi, Khalid",Ford Focus RS WRC 08,AE,A8,"+15m 24,2s",NA,NA,NA
17,146,"Ketomaa, Jari",Subaru Impreza WRX,FI,N4,"+17m 38,6s",NA,NA,NA
18,61,"Evans, Gwyndaf",Mitsubishi Lancer Evo IX,GB,N4,"+20m 03,2s",NA,NA,NA
