year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
1968,41,MG B - BMC B series L4 2v OHV 1798 cc N/A,NA,GT,Thomas Harris (USA),-,Front-engined,James Rushin (USA)/Thomas D. Harris (USA)/Chris Waldron (USA),NA,NA,NA,NA,NA,MG,B,NA,NA,Result: did not finish (Clutch)Grid: 62nd (2:45.1100),did not finish (Clutch)Grid: 62nd (2:45.1100),not_finished,62,2:45.1100,NA,Clutch,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/MG.html,https://www.racingsportscars.com/type/photo/MG/B.html,NA,NA
1968,49,Volvo 122 S # - Volvo N/A,NA,TA2.0,"Ike A. Maxwell, Jr. (USA)",-,-,Ike Maxwell (USA)/William J. Martin (USA),NA,NA,NA,NA,NA,Volvo,122,S,#,Result: did not finish (Oil leak)Grid: 59th (2:35.7000),did not finish (Oil leak)Grid: 59th (2:35.7000),not_finished,59,2:35.7000,NA,Oil leak,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Volvo.html,https://www.racingsportscars.com/type/photo/Volvo/122.html,https://www.racingsportscars.com/suffix/photo/Volvo/122/S.html,https://www.racingsportscars.com/chassis/photo/122S-Maxwell%23.html
1968,27,Lancia Fulvia HF #1110 - Lancia V4/12° 2v DOHC 1300 cc N/A,NA,P,Algar Enterprises (USA),-,Front-engined,/Giancarlo Baghetti (I)/Carlo Facetti (I)/Ove Andersson (S),NA,NA,NA,NA,NA,Lancia,Fulvia,HF,#1110,Result: did not finish (Crankshaft)Grid: 58th (2:33.7000),did not finish (Crankshaft)Grid: 58th (2:33.7000),not_finished,58,2:33.7000,NA,Crankshaft,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Lancia.html,https://www.racingsportscars.com/type/photo/Lancia/Fulvia.html,https://www.racingsportscars.com/suffix/photo/Lancia/Fulvia/HF.html,https://www.racingsportscars.com/chassis/photo/1110%20%5bFulvia%5d.html
1968,48,Triumph TR4 A - Triumph L4 2v OHV 2200 cc N/A,NA,GT,Doyle Poole (USA),-,Front-engined,"Doyle Poole (USA)/Stott/Bruce Morehead (USA)DNS: Thomas D. Harris (USA); listed, never drove: Dick Kipling (USA)",NA,NA,NA,NA,NA,Triumph,TR4,A,NA,Result: did not finish (DQ)Grid: 61st (2:39.4200),did not finish (DQ)Grid: 61st (2:39.4200),not_finished,61,2:39.4200,NA,DQ,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Triumph.html,https://www.racingsportscars.com/type/photo/Triumph/TR4.html,https://www.racingsportscars.com/suffix/photo/Triumph/TR4/A.html,NA
1968,2,Ford Mustang # - Ford V8/90° 2v OHV 4949 cc N/A,NA,TA+2.0,Shelby Racing (USA),Closed bodywork,Front-engined,Allan Moffat (AUS)/Horst Kwech (AUS)/George Follmer (USA),NA,NA,NA,NA,NA,Ford,Mustang,NA,#,Result: did not finish (Rear suspension)Grid: 23rd (2:08.5100),did not finish (Rear suspension)Grid: 23rd (2:08.5100),not_finished,23,2:08.5100,NA,Rear suspension,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Mustang.html,NA,https://www.racingsportscars.com/chassis/photo/Mustang-Shelby-02%23.html
1968,43,Triumph TR4 A - Triumph L4 2v OHV 2138 cc N/A,NA,GT,Cannons Auto Service (USA),Closed hardtop bodywork,Front-engined,Carl Schwenker (USA)/Ara Dube (USA)/Dana Kelder (USA),NA,NA,NA,NA,NA,Triumph,TR4,A,NA,Result: did not finish (Suspension)Grid: 57th (2:33.3000),did not finish (Suspension)Grid: 57th (2:33.3000),not_finished,57,2:33.3000,NA,Suspension,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Triumph.html,https://www.racingsportscars.com/type/photo/Triumph/TR4.html,https://www.racingsportscars.com/suffix/photo/Triumph/TR4/A.html,NA
1968,57,Triumph GT6 - Triumph,NA,GT,Richard P. Cline,Closed bodywork,-,Rick Cline (USA)/Michael Pickering (USA),NA,NA,NA,30/03/2014,The Henry Ford/Friedman,Triumph,GT6,NA,NA,Result: did not finish (Engine)Grid: 60th (2:37.2100),did not finish (Engine)Grid: 60th (2:37.2100),not_finished,60,2:37.2100,NA,Engine,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-057.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-057.jpg,https://www.racingsportscars.com/make/photo/Triumph.html,https://www.racingsportscars.com/type/photo/Triumph/GT6.html,NA,NA
1968,7,Mercury Cougar I - Ford V8 4788 cc N/A,NA,TA+2.0,Billy Hagan (USA),Closed bodywork,Front-engined,Billy Hagan (USA)/John McVeigh (USA)/Francis Gillebard (USA),NA,NA,NA,NA,NA,Mercury,Cougar,I,NA,Result: did not finish (Oil leak)Grid: 36th (2:20.3600),did not finish (Oil leak)Grid: 36th (2:20.3600),not_finished,36,2:20.3600,NA,Oil leak,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Mercury.html,https://www.racingsportscars.com/type/photo/Mercury/Cougar.html,https://www.racingsportscars.com/suffix/photo/Mercury/Cougar/I.html,NA
1968,11,Chevron B6 # - BMW L4 1991 cc N/A,NA,P,Chevron Cars (GB),Closed bodywork,Mid-engined,Digby Martland (GB)/Brian Classick (GB),NA,light,NA,30/03/2014,The Henry Ford/Friedman,Chevron,B6,NA,#,Result: did not finish (Engine)Grid: 26th (2:10.4900),did not finish (Engine)Grid: 26th (2:10.4900),not_finished,26,2:10.4900,NA,Engine,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-011.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-011.jpg,https://www.racingsportscars.com/make/photo/Chevron.html,https://www.racingsportscars.com/type/photo/Chevron/B6.html,NA,https://www.racingsportscars.com/chassis/photo/CH-DBE-7.html
1968,58,Triumph Spitfire,NA,GT,Richard Cline (USA),-,Front-engined,"Fred Andrews, Jr. (USA)/Richard Kondracki (USA)",NA,NA,NA,NA,NA,Triumph,Spitfire,NA,NA,Result: did not finish (Engine)Grid: 63rd (2:47.2800),did not finish (Engine)Grid: 63rd (2:47.2800),not_finished,63,2:47.2800,NA,Engine,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Triumph.html,https://www.racingsportscars.com/type/photo/Triumph/Spitfire.html,NA,NA
