position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,4,"McRae, Colin",Ford Focus RS WRC 01,GB,A8,"4h 18m 25,3s",NA,NA,NA
2,5,"Burns, Richard",Subaru Impreza WRC2001,GB,A8,"+26,9s",NA,NA,NA
3,3,"Sainz, Carlos",Ford Focus RS WRC 01,ES,A8,"+1m 46,4s",NA,NA,NA
4,7,"Makinen, Tommi",Mitsubishi Lancer Evo 6.5,FI,A8,"+3m 12,6s",NA,NA,NA
5,6,"Solberg, Petter",Subaru Impreza WRC2001,NO,A8,"+3m 47,0s",NA,NA,NA
6,8,"Loix, Freddy",Mitsubishi Carisma GT,BE,A8,"+5m 40,1s",NA,NA,NA
7,17,"Delecour, Francois",Ford Focus RS WRC 01,FR,A8,"+6m 10,9s",NA,NA,NA
8,18,"Arai, Toshihiro",Subaru Impreza WRC2001,JP,A8,"+10m 55,7s",NA,NA,NA
9,10,"McRae, Alister",Hyundai Accent WRC2,GB,A8,"+13m 58,9s",1:00,NA,NA
10,21,"Pozzo, Gabriel",Mitsubishi Lancer Evo VI,AR,N4,"+20m 15,1s",0:20,NA,NA
11,20,"Trelles, Gustavo",Mitsubishi Lancer Evo VI,UY,N4,"+22m 20,2s",0:10,NA,NA
12,24,"Sanchez, Roberto",Subaru Impreza,AR,N4,"+26m 09,2s",NA,NA,NA
13,39,"Perez Companc, Luis",Mitsubishi Lancer Evo VI,AR,N4,"+31m 24,3s",NA,NA,NA
14,27,"Goldenhersch, Esteban",Subaru Impreza,AR,N4,"+31m 31,1s",NA,NA,NA
15,28,"Villagra, Federico",Mitsubishi Lancer Evo VI,AR,N4,"+33m 26,9s",NA,NA,NA
16,40,"Baldini, Luca",Mitsubishi Lancer Evo VI,IT,N4,"+40m 53,9s",NA,NA,NA
17,50,"Copello, Eduardo",Subaru Impreza,AR,N4,"+53m 20,7s",0:50,NA,NA
18,44,"Maranzana, Pablo Luis",Mitsubishi Lancer Evo V,AR,N4,"+55m 36,2s",NA,NA,NA
19,35,"Raies, Juan Pablo",Mitsubishi Lancer Evo VI,AR,N4,"+1h 00m 00,2s",2:00,NA,NA
20,46,"Cruz, Fernando",Subaru Impreza,AR,N4,"+1h 06m 07,3s",2:10,NA,NA
21,42,"de Simone, Alberto",Subaru Impreza,AR,N4,"+1h 11m 23,7s",1:30,NA,NA
22,33,"Marin Mulas, Gabriel",Subaru Impreza,MX,N4,"+1h 13m 28,4s",0:30,NA,NA
23,51,"Odon, Carlos",Mitsubishi Lancer Evo VI,AR,N4,"+1h 14m 42,2s",2:40,NA,NA
24,47,"Fernandez, Javier",Hyundai Coupe Kit Car,UY,A7,"+1h 17m 33,2s",1:20,NA,NA
25,54,"Abella Nazar, Arturo",Mitsubishi Lancer Evo VI,AR,N4,"+1h 18m 50,6s",1:00,NA,NA
26,48,"Ortiz, Heriberto",Mitsubishi Lancer Evo VI,AR,N4,"+1h 29m 36,5s",NA,NA,NA
27,59,"Kim, Hernan",Seat Ibiza GTi 16V,AR,N3,"+1h 37m 20,7s",0:20,NA,NA
28,31,"Cadringher, Gabriele",Mitsubishi Lancer Evo VI,IT,N4,"+1h 43m 55,0s",NA,NA,NA
29,70,"Alvarez, Benjamin",Seat Ibiza GTi 16V,AR,N3,"+2h 08m 24,0s",0:40,NA,NA
30,73,"Gonzalez, Gustavo",Suzuki Swift GTI,CL,N1,"+2h 13m 11,1s",NA,NA,NA
31,75,"Bottazzini, Guillermo",Suzuki Swift GTI,AR,N1,"+2h 35m 25,5s",0:30,NA,NA
32,74,"Silvi, Orlando",Suzuki Swift GTI,AR,N1,"+2h 47m 44,1s",2:30,NA,NA
NA,1,"Gronholm, Marcus",Peugeot 206WRC (2000),FI,A8,NA,NA,SS18,clutch
NA,2,"Auriol, Didier",Peugeot 206WRC (2000),FR,A8,NA,NA,SS20,damage
NA,9,"Eriksson, Kenneth",Hyundai Accent WRC2,SE,A8,NA,NA,SS20,lost wheel
NA,11,"Schwarz, Armin",Skoda Octavia WRC Evo2,DE,A8,NA,NA,SS11,hit by truck
NA,12,"Thiry, Bruno",Skoda Octavia WRC Evo2,BE,A8,NA,NA,SS11,hit by truck
NA,16,"Rovanpera, Harri",Peugeot 206WRC (2000),FI,A8,NA,NA,SS7,suspension
NA,19,"Blazquez, Marc",Seat Cordoba WRC Evo3,ES,A8,NA,NA,SS6,mechanical
NA,22,"Ligato, Marcos",Mitsubishi Lancer Evo VI,AR,N4,NA,NA,SS21,accident
NA,23,"Blomqvist, Stig",Mitsubishi Lancer Evo VI,SE,N4,NA,NA,SS4,mechanical
NA,25,"Menzi, Claudio Marcelo",Subaru Impreza,AR,N4,NA,NA,SS6,mechanical
NA,26,"Beltran, Sebastian",Subaru Impreza,AR,N4,NA,NA,SS20,mechanical
NA,29,"Bugliotti, Marcelo",Mitsubishi Lancer Evo VI,AR,N4,NA,NA,SS4,mechanical
NA,30,"Davila, Pablo",Mitsubishi Lancer Evo VI,AR,N4,NA,NA,SS3,mechanical
NA,36,"Bissio, Ricardo Atilio",Mitsubishi Lancer Evo V,AR,N4,NA,NA,SS6,mechanical
NA,37,"Chali, Facundo",Subaru Impreza,AR,N4,NA,NA,SS11,mechanical
NA,38,"Marrocchi, Daniel",Mitsubishi Lancer Evo VI,AR,N4,NA,NA,SS18,mechanical
NA,43,"Larrauri, Ariel",Mitsubishi Lancer Evo VI,AR,N4,NA,NA,SS10,mechanical
NA,45,"Kupfer Puyol, Ronald",Subaru Impreza,CL,N4,NA,NA,SS9,mechanical
NA,49,"Cravero, Alfredo",Subaru Impreza,AR,N4,NA,NA,SS5,mechanical
NA,52,"Gallusser, Martin",Mitsubishi Lancer Evo III,AR,A8,NA,NA,SS8,mechanical
NA,53,"Mass, Daniel",Subaru Impreza,CL,N4,NA,NA,SS8,mechanical
NA,55,"Sampayo, Julio",Mitsubishi Lancer Evo V,AR,N4,NA,NA,SS20,mechanical
NA,56,"Felipe, Gerardo",Seat Ibiza GTi 16V,AR,N3,NA,NA,SS12,mechanical
NA,57,"Dominguez, Diego",Seat Ibiza GTi 16V,AR,N3,NA,NA,SS10,mechanical
NA,58,"Quattrocchio, Miguel",Seat Ibiza GTi 16V,AR,A7,NA,NA,SS7,mechanical
NA,61,"Liendo, Roberto",Peugeot 405 MI16,AR,A7,NA,NA,SS6,mechanical
NA,63,"Sanchez, Daniel H.",Seat Ibiza GTi 16V,AR,A7,NA,NA,SS2,mechanical
NA,64,"Castelli, Roberto",Seat Ibiza GTi 16V,AR,N3,NA,NA,SS9,unknown
NA,65,"Lacoppola, Jose",Seat Ibiza GTi 16V,AR,N3,NA,NA,SS5,mechanical
NA,66,"Marchetto, Jorge",Peugeot 306,AR,N3,NA,NA,SS6,mechanical
NA,67,"Cuevas, Carlos",Seat Ibiza GTi 16V,AR,N3,NA,NA,SS7,mechanical
NA,71,"Cataneo, Miguel Angel",Renault 18 GTX,AR,A7,NA,NA,SS2,rolled
NA,72,"Cavalieri, Eduardo",Daewoo Lanos 1.6,CL,N2,NA,NA,SS9,mechanical
