track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
sebring,1971-03-20,86,Chevrolet Corvette - Chevrolet V8 7000 cc N/A,NA,GT+2.5,Cliff Gottlob (USA),-,Front-engined,Cliff Gottlob (USA)/Ed Lowther (USA)DNS: Bob Nagel (USA),NA,white,NA,NA,NA,Chevrolet,Corvette,NA,NA,Result: did not finish (Engine)Grid: 23rd (3:06.1000),did not finish (Engine)Grid: 23rd (3:06.1000),not_finished,23,3:06.1000,NA,Engine,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,NA,NA
sebring,1971-03-20,43,Chevrolet Chevy II - Chevrolet 5000 cc N/A,NA,T+2.5,Garcia Racing (USA),-,-,Manuel Garcia (USA)/Santiago Gonzalez (C)/Norberto Mastandrea (USA),NA,blue/white,NA,NA,NA,Chevrolet,Chevy II,NA,NA,Result: did not finish (Rocker arm)Grid: 49th (3:27.4900),did not finish (Rocker arm)Grid: 49th (3:27.4900),not_finished,49,3:27.4900,NA,Rocker arm,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Chevy%20II.html,NA,NA
sebring,1971-03-20,45,Ford Mustang # - Ford V8 4942 cc N/A,NA,T+2.5,Reventlow-Pettey Automobiles (USA),Closed bodywork,Front-engined,Paul Pettey (USA)/Tom Dutton (USA),NA,white (+black),NA,31/10/2010,Richard Reventlow,Ford,Mustang,NA,#,Result: did not finish (Engine)Grid: 48th (3:26.8400),did not finish (Engine)Grid: 48th (3:26.8400),not_finished,48,3:26.8400,NA,Engine,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-045.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-045.jpg,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Mustang.html,NA,https://www.racingsportscars.com/chassis/photo/Mustang-Reventlow%23.html
sebring,1971-03-20,38,Shelby GT500 - Ford V8 2v OHV 4948 cc N/A,NA,T+2.5,John P. Belperche (USA),-,Front-engined,Manuel Quintana (USA)/John Belperche (USA)/Reinaldo Almeida (USA),NA,red,NA,NA,NA,Shelby,GT500,NA,NA,Result: did not finish (Suspension)Grid: 41st (3:24.1200),did not finish (Suspension)Grid: 41st (3:24.1200),not_finished,41,3:24.1200,NA,Suspension,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Shelby.html,https://www.racingsportscars.com/type/photo/Shelby/GT500.html,NA,NA
sebring,1971-03-20,35,Chevrolet Camaro - Chevrolet V8/90° 2v OHV 5000 cc N/A,NA,T+2.5,Collins-Wilson Racing Ent. (USA),Closed bodywork,Front-engined,Larry Wilson (USA)/Vincent Collins (USA),NA,white,NA,NA,NA,Chevrolet,Camaro,NA,NA,Result: did not finish (Gearbox)Grid: 47th (3:27.4900),did not finish (Gearbox)Grid: 47th (3:27.4900),not_finished,47,3:27.4900,NA,Gearbox,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,NA,NA
sebring,1971-03-20,54,Abarth 2000 S SE010 # - Abarth L4 4v DOHC 1994 cc N/A,NA,P2.0,"Automobiles of Italy, Inc. (USA)",Open bodywork,Mid-engined,Anatoly Arutunoff (USA)/Bill Pryor (USA)/Brian Goellnicht (USA),AUTOMOBILES OF ITALY/STP,red (+white/green),NA,28/03/2010,Greg Boyd,Abarth,2000 S,SE010,#,Result: did not finish (Fire)Grid: 46th (3:25.7900),did not finish (Fire)Grid: 46th (3:25.7900),not_finished,46,3:25.7900,NA,Fire,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-054.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-054.jpg,https://www.racingsportscars.com/make/photo/Abarth.html,https://www.racingsportscars.com/type/photo/Abarth/2000%20S.html,https://www.racingsportscars.com/suffix/photo/Abarth/2000%20S/SE010.html,https://www.racingsportscars.com/chassis/photo/SE010-Arutunoff%23.html
sebring,1971-03-20,71,Chevrolet Camaro II # - Chevrolet V8/90° 2v OHV 5000 cc N/A,NA,T+2.5,Takondo Racing (USA),Closed bodywork,Front-engined,Vince Gimondo (USA)/Chuck Dietrich (USA),NA,maroon/white,Goodyear,10/07/2008,John McCollister,Chevrolet,Camaro,II,#,Result: did not finish (Valve lifter)Grid: 25th (3:07.9300),did not finish (Valve lifter)Grid: 25th (3:07.9300),not_finished,25,3:07.9300,NA,Valve lifter,https://www.racingsportscars.com/tn/photo/1971/TN_Sebring-1971-03-20-071.jpg,https://www.racingsportscars.com/photo/1971/Sebring-1971-03-20-071.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Camaro/II.html,https://www.racingsportscars.com/chassis/photo/Camaro-II-Gimondo%23.html
sebring,1971-03-20,56,Porsche 907 #032 - Porsche Typ 901 F6 1991 cc N/A,NA,P2.0,Josef Greger (D),-,Mid-engined,Sepp Greger (D)/Hans-Dieter Weigel (D),NA,light blue,NA,NA,NA,Porsche,907,NA,#032,Result: did not finish (Gearbox)Grid: 26th (3:07.9700),did not finish (Gearbox)Grid: 26th (3:07.9700),not_finished,26,3:07.9700,NA,Gearbox,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/907.html,NA,https://www.racingsportscars.com/chassis/photo/907-032.html
sebring,1971-03-20,50,Chevrolet Corvette # - Chevrolet V8/90° 2v OHV 7000 cc N/A,NA,GT+2.5,John Greenwood (USA),Closed bodywork,Front-engined,Allan Barker (USA)/Gene Harrington (USA),NA,red/white/blue,NA,NA,NA,Chevrolet,Corvette,NA,#,Result: did not finish (Oil leak)Grid: 18th (3:00.1100),did not finish (Oil leak)Grid: 18th (3:00.1100),not_finished,18,3:00.1100,NA,Oil leak,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,NA,https://www.racingsportscars.com/chassis/photo/Corvette-Greenwood-1970%23.html
sebring,1971-03-20,12,Chevrolet Corvette - Chevrolet V8 7000 cc N/A,NA,GT+2.5,"Troy Promotions, Inc. (USA)",Closed bodywork,Front-engined,Jerry Thompson (USA)/John Mahler (USA),NA,red/white,NA,NA,NA,Chevrolet,Corvette,NA,NA,Result: did not finish (Oil leak)Grid: 17th (2:58.9600),did not finish (Oil leak)Grid: 17th (2:58.9600),not_finished,17,2:58.9600,NA,Oil leak,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,NA,NA
