year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
2003,80,Ferrari 550 Maranello GTS #ZFFZR49B000108612 (CRD05) (Prodrive) - Ferrari V12/65° 4v DOHC 5983 cc N/A,NA,GTS,Veloqx Prodrive Racing (GB),Closed bodywork,Front-engined,Darren Turner (GB)/Anthony Davidson (GB)/Kelvin Burt (GB),prodrive/ISOCLIMA,red,Michelin,01/09/2003,Pincus © 2003-2009,Ferrari,550 Maranello,#ZFFZR49B000108612 (CRD05),GTS,Result: did not finish (Wheel baring failure => accident)Grid: 21st (3:54.7250) - 22nd fastest qualifier,did not finish (Wheel baring failure => accident)Grid: 21st (3:54.7250) - 22nd fastest qualifier,not_finished,21,3:54.7250,NA,Wheel baring failure => accident,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-080.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/550%20Maranello.html,https://www.racingsportscars.com/chassis/photo/ZFFZR49B000108612.html,https://www.racingsportscars.com/suffix/photo/Ferrari/550%20Maranello/GTS.html
2003,25,WR LMP-02 #2003-01 - WR Peugeot 2995 cc N/A,NA,LMP675,Gerard Welter (F),Open bodywork,Mid-engined,"Stéphane Daoudi (F)/Jean-René de Fournoux (F)/Bastien Brière (F)listed, never drove: Jean-Bernard Bouvet (F), Olivier Porta (F)",FOUSSIER/esa/APPLICATIONS COMPOSITES,yellow,Michelin,01/09/2003,Pincus © 2003-2009,WR,LMP-02,#2003-01,NA,Result: did not finish (Engine)Grid: 49th (4:14.7850) - 41st fastest qualifier,did not finish (Engine)Grid: 49th (4:14.7850) - 41st fastest qualifier,not_finished,49,4:14.7850,NA,Engine,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-025.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/WR.html,https://www.racingsportscars.com/type/photo/WR/LMP-02.html,https://www.racingsportscars.com/chassis/photo/2003-01.html,NA
2003,14,Reynard 01Q #2KQ-006=>01Q-001 - Ford Cosworth XDE 2650 cc Turbo,NA,LMP900,Team Nasamax (GB),Open bodywork,Mid-engined,Romain Dumas (F)/Robbie Stirling (CDN)/Werner Lupberger (ZA)preliminary session only: Bryan Herta (USA),EMPOWER,green/silver,Michelin,01/09/2003,Pincus © 2003-2009,Reynard,01Q,#2KQ-006=>01Q-001,NA,Result: did not finish (Fire)Grid: 20th (3:54.3200) - 21st fastest qualifier,did not finish (Fire)Grid: 20th (3:54.3200) - 21st fastest qualifier,not_finished,20,3:54.3200,NA,Fire,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-014.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Reynard.html,https://www.racingsportscars.com/type/photo/Reynard/01Q.html,https://www.racingsportscars.com/chassis/photo/2KQ-006.html,NA
2003,95,Ferrari 360 Modena GT #F131 GT 2014 - Ferrari Tipo F131 V8/90° 5v DOHC 3586.2 cc N/A,NA,GT,Risi Competizione-Giuseppe Risi (USA),Closed bodywork,Mid-engined,Shane Lewis (USA)/Johnny Mowlem (GB)/Butch Leitzinger (USA),ACEMCO AUTOMOTIVE,silver (+red),Yokohama,01/09/2003,Pincus © 2003-2009,Ferrari,360 Modena,#F131 GT 2014,GT,Result: did not finish (Engine)Grid: 39th (4:15.3420) - 42nd fastest qualifier,did not finish (Engine)Grid: 39th (4:15.3420) - 42nd fastest qualifier,not_finished,39,4:15.3420,NA,Engine,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-095.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/360%20Modena.html,https://www.racingsportscars.com/chassis/photo/F131%20GT%202014.html,https://www.racingsportscars.com/suffix/photo/Ferrari/360%20Modena/GT.html
2003,83,Porsche 996 GT3-RS #WP0ZZZ99Z1S692079 - Porsche M96/77 F6 4v DOHC 3598 cc N/A,NA,GT,Seikel Motorsport (D),Closed bodywork,Rear-engined,Tony Burgess (CDN)/David Shep (CDN)/Andrew Bagnall (NZ)preliminary session only: John Lloyd (USA),TDM/ADVAN,white/black,Yokohama,01/09/2003,Pincus © 2003-2009,Porsche,996 GT3-RS,#WP0ZZZ99Z1S692079,NA,Result: did not finish (Gearbox)Grid: 40th (4:16.7920) - 43rd fastest qualifier,did not finish (Gearbox)Grid: 40th (4:16.7920) - 43rd fastest qualifier,not_finished,40,4:16.7920,NA,Gearbox,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-083.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996%20GT3-RS.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99Z1S692079.html,NA
2003,27,Lola EX257 #001 - AER MG XP-20/AER L4 4v DOHC 1995 cc 1xGarrett,NA,LMP675,Intersport Racing Field (USA),Open bodywork,Mid-engined,"Jon Field (USA)/Duncan Dayton (USA)/Rick Sutherland (USA)listed, never drove: Mike Durand (USA)",Banana Joe's/HIGHCROFT RACING,blue/red (+silver),Goodyear,01/09/2003,Pincus © 2003-2009,Lola,EX257,#001,NA,Result: did not finish (Engine)Grid: 16th (3:46.4040) - 17th fastest qualifier,did not finish (Engine)Grid: 16th (3:46.4040) - 17th fastest qualifier,not_finished,16,3:46.4040,NA,Engine,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-027.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Lola.html,https://www.racingsportscars.com/type/photo/Lola/EX257.html,https://www.racingsportscars.com/chassis/photo/HU%20MG%20LMP%20001.html,NA
2003,92,TVR Tuscan T400R #SDTLA18A33B001104 - TVR Engines Speed Six L6 4v DOHC 3996 cc N/A,NA,GT,Dewalt-Racesports Salesbury (GB),Closed bodywork,Front-engined,Michael Caine (GB)/Mike Jordan (GB)/Tim Sugden (GB),DEWALT/GUARANTEED TOUGH,yellow/black,Dunlop,01/09/2003,Pincus © 2003-2009,TVR,Tuscan,#SDTLA18A33B001104,T400R,Result: did not finish (Gearbox)Grid: 41st (4:16.8720) - 44th fastest qualifier,did not finish (Gearbox)Grid: 41st (4:16.8720) - 44th fastest qualifier,not_finished,41,4:16.8720,NA,Gearbox,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-092.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/TVR.html,https://www.racingsportscars.com/type/photo/TVR/Tuscan.html,https://www.racingsportscars.com/chassis/photo/SDTLA18A33B001104.html,https://www.racingsportscars.com/suffix/photo/TVR/Tuscan/T400R.html
2003,66,Saleen S7-R #002R (1S9AD11E01B551002) (Mallock) - Ford V8/90° 2v OHV 6886 cc N/A,NA,GTS,Konrad Motorsport (D),Closed bodywork,Mid-engined,Franz Konrad (A)/Walter Brun (CH)/Toni Seiler (CH),H&R/NOTTER/ELBE AIR,yellow,Dunlop,01/09/2003,Pincus © 2003-2009,Saleen,S7-R,#002R (1S9AD11E01B551002),NA,Result: did not finish (Gearbox)Grid: 28th (4:01.3310) - 29th fastest qualifier,did not finish (Gearbox)Grid: 28th (4:01.3310) - 29th fastest qualifier,not_finished,28,4:01.3310,NA,Gearbox,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-066.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Saleen.html,https://www.racingsportscars.com/type/photo/Saleen/S7-R.html,https://www.racingsportscars.com/chassis/photo/S7-01-002R.html,NA
2003,21,Norma M2000-02 #03 - Ford /Kinetic V8 5999 cc N/A,NA,LMP900,Edouard Sezionale (F),Open bodywork,Mid-engined,Patrice Roussel (F)/Lucas Lasserre (F)/Edouard Sezionale (F)preliminary session only: Allan Ziegelman (USA),Celebrity Water/Pau,white/blue,Dunlop,08/02/2019,Pincus © 2003-2009 and steinmannk046,Norma,M2000,#03,-02,Result: did not finish (Engine)Grid: 48th (4:08.0810) - 36th fastest qualifier,did not finish (Engine)Grid: 48th (4:08.0810) - 36th fastest qualifier,not_finished,48,4:08.0810,NA,Engine,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-021.jpg,https://www.racingsportscars.com/photo/2003/Le_Mans-2003-06-15-021.jpg,https://www.racingsportscars.com/make/photo/Norma.html,https://www.racingsportscars.com/type/photo/Norma/M2000.html,https://www.racingsportscars.com/chassis/photo/M2000-03.html,https://www.racingsportscars.com/suffix/photo/Norma/M2000/-02.html
2003,31,Courage C65 #C60-N°6 - JPX V6 3400 cc N/A,NA,LMP675,Courage Compétition (F),Open bodywork,Mid-engined,Philippe Alliot (F)/Carl Rosenblad (S)/David Hallyday (F),Bouygues Telecom/IGOL/FESTINA,blue (+light blue),Michelin,01/09/2003,Pincus © 2003-2009,Courage,C65,#C60-N°6,NA,Result: did not finish (Engine)Grid: 17th (3:51.5500) - 18th fastest qualifier,did not finish (Engine)Grid: 17th (3:51.5500) - 18th fastest qualifier,not_finished,17,3:51.5500,NA,Engine,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-031.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Courage.html,https://www.racingsportscars.com/type/photo/Courage/C65.html,https://www.racingsportscars.com/chassis/photo/C60-N%c2%b06.html,NA
