year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
2010,9,Audi R15 TDI #204 - Audi TDI V10/90° 4v DOHC 5499 cc 2xGarrett Diesel,1,LMP1,Audi Sport North America (D),Open bodywork,Mid-engined,Mike Rockenfeller (D)/Timo Bernhard (D)/Romain Dumas (F),TDI/MAHLE,red/silver (+black),Michelin,04/01/2021,"Dominique Gasnerie, AMP MAG Philippe Clet and Maurizio Beretta",Audi,R15 TDI,#204,NA,Result: winner - (225.228 kph) - margin: 1 lapGrid: 5th (3:21.9810),winner - (225.228 kph) - margin: 1 lapGrid: 5th (3:21.9810),finished,5,3:21.9810,225.228 kph,NA,https://www.racingsportscars.com/tn/photo/2010/TN_Le_Mans-2010-06-13-009.jpg,https://www.racingsportscars.com/photo/2010/Le_Mans-2010-06-13-009.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R15%20TDI.html,https://www.racingsportscars.com/chassis/photo/R15%20T%20204.html,NA
2010,8,Audi R15 TDI #203 - Audi TDI V10/90° 4v DOHC 5499 cc 2xGarrett Diesel,2,LMP1,Audi Sport Team Joest (D),Open bodywork,Mid-engined,André Lotterer (D)/Marcel Fässler (CH)/Benoit Tréluyer (F),TDI/MAHLE,red/silver (+black),Michelin,04/01/2021,Dominique Gasnerie and Phil Boulton,Audi,R15 TDI,#203,NA,Result: 2nd (1 lap behind the winner)Grid: 7th (3:23.6050),2nd (1 lap behind the winner)Grid: 7th (3:23.6050),finished,7,3:23.6050,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/2010/TN_Le_Mans-2010-06-13-008.jpg,https://www.racingsportscars.com/photo/2010/Le_Mans-2010-06-13-008.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R15%20TDI.html,https://www.racingsportscars.com/chassis/photo/R15%20T%20203.html,NA
2010,7,Audi R15 TDI #202 - Audi TDI V10/90° 4v DOHC 5499 cc 2xGarrett Diesel,3,LMP1,Audi Sport Team Joest (D),Open bodywork,Mid-engined,/Rinaldo Capello (I)/Tom Kristensen (DK)/Allan McNish (GB),TDI/MAHLE,red/silver (+black/yellow),Michelin,04/01/2021,Dominique Gasnerie and Phil Boulton,Audi,R15 TDI,#202,NA,Result: 3rd (3 laps behind the winner)Grid: 6th (3:22.1760),3rd (3 laps behind the winner)Grid: 6th (3:22.1760),finished,6,3:22.1760,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2010/TN_Le_Mans-2010-06-13-007.jpg,https://www.racingsportscars.com/photo/2010/Le_Mans-2010-06-13-007.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R15%20TDI.html,https://www.racingsportscars.com/chassis/photo/R15%20T%20202.html,NA
2010,6,Oreca 01 #LC70-N°13 => 02 - AIM .YS V10 5496 cc N/A,4,LMP1,AIM Team Oreca Matmut (F),Open bodywork,Mid-engined,Andrew Meyrick (GB)/Didier André (F)/Soheil Ayari (F),NA,NA,Dunlop,04/01/2021,"Phil Boulton, Dominique Gasnerie and AMP MAG Philippe Clet",Oreca,01,#LC70-N°13 => 02,NA,Result: 4th (28 laps behind the winner)Grid: 10th (3:29.5060),4th (28 laps behind the winner)Grid: 10th (3:29.5060),finished,10,3:29.5060,28 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2010/TN_Le_Mans-2010-06-13-006.jpg,https://www.racingsportscars.com/photo/2010/Le_Mans-2010-06-13-006.jpg,https://www.racingsportscars.com/make/photo/Oreca.html,https://www.racingsportscars.com/type/photo/Oreca/01.html,https://www.racingsportscars.com/chassis/photo/LC70-N%c2%b013.html,NA
2010,42,HPD ARX-01 c #9 (Courage) - HPD V8/90° 4v DOHC 3398 cc N/A,5,LMP2,Strakka Racing (GB),Open bodywork,Mid-engined,Nick Leventis (GB)/Danny Watts (GB)/Jonny Kane (GB),NA,NA,Michelin,04/01/2021,Phil Boulton and Dominique Gasnerie,HPD,ARX-01,#9,c,Result: 5th 1st in LMP2 (30 laps behind the winner)Grid: 15th (3:33.0790),5th 1st in LMP2 (30 laps behind the winner)Grid: 15th (3:33.0790),finished,15,3:33.0790,30 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2010/TN_Le_Mans-2010-06-13-042.jpg,https://www.racingsportscars.com/photo/2010/Le_Mans-2010-06-13-042.jpg,https://www.racingsportscars.com/make/photo/HPD.html,https://www.racingsportscars.com/type/photo/HPD/ARX-01.html,https://www.racingsportscars.com/chassis/photo/LC70-N%c2%b09.html,https://www.racingsportscars.com/suffix/photo/HPD/ARX-01/c.html
2010,7,Lola Aston Martin DBR1-2 #B0960-HU02S (DBR1-2/1) - Aston Martin DBR9 V12 5993 cc N/A,6,LMP1,Aston Martin Racing (GB),Closed bodywork,Mid-engined,Harold Primat (CH)/Adrian Fernandez (MEX)/Stefan Mücke (D),NA,NA,Michelin,04/01/2021,"Dominique Gasnerie, Phil Boulton and AMP MAG Philippe Clet",Lola,Aston Martin DBR1-2,#B0960-HU02S (DBR1-2/1),NA,Result: 6th (32 laps behind the winner)Grid: 8th (3:26.6800),6th (32 laps behind the winner)Grid: 8th (3:26.6800),finished,8,3:26.6800,32 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2010/TN_Le_Mans-2010-06-13-00007.jpg,https://www.racingsportscars.com/photo/2010/Le_Mans-2010-06-13-00007.jpg,https://www.racingsportscars.com/make/photo/Lola.html,https://www.racingsportscars.com/type/photo/Lola/Aston%20Martin%20DBR1-2.html,https://www.racingsportscars.com/chassis/photo/B0960-HU02S.html,NA
2010,35,Pescarolo 01 Evo #06 - Judd DB V8/90° 4v 3397 cc N/A,7,LMP2,OAK Racing (F),Open bodywork,Mid-engined,"Matthieu Lahaye (F)/Guillaume Moreau (F)/Jan Charouz (CZ)listed, never drove: Richard Hein (MC)",NA,NA,Dunlop,04/01/2021,"Phil Boulton, AMP MAG Philippe Clet and Dominique Gasnerie",Pescarolo,01,#06,Evo,Result: 7th (36 laps behind the winner)Grid: 22nd (3:41.3100),7th (36 laps behind the winner)Grid: 22nd (3:41.3100),finished,22,3:41.3100,36 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2010/TN_Le_Mans-2010-06-13-035.jpg,https://www.racingsportscars.com/photo/2010/Le_Mans-2010-06-13-035.jpg,https://www.racingsportscars.com/make/photo/Pescarolo.html,https://www.racingsportscars.com/type/photo/Pescarolo/01.html,https://www.racingsportscars.com/chassis/photo/01-06.html,https://www.racingsportscars.com/suffix/photo/Pescarolo/01/Evo.html
2010,25,Lola B08/80 #HU03 - HPD LM-V8 V8/90° 4v DOHC 3398 cc N/A,8,LMP2,RML (GB),Closed bodywork,Mid-engined,Thomas Erdos (BR)/Mike Newton (GB)/Andy Wallace (GB),NA,NA,Dunlop,04/01/2021,Phil Boulton and Dominique Gasnerie,Lola,B08/80,#HU03,NA,Result: 8th (39 laps behind the winner)Grid: 20th (3:39.6480),8th (39 laps behind the winner)Grid: 20th (3:39.6480),finished,20,3:39.6480,39 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2010/TN_Le_Mans-2010-06-13-025.jpg,https://www.racingsportscars.com/photo/2010/Le_Mans-2010-06-13-025.jpg,https://www.racingsportscars.com/make/photo/Lola.html,https://www.racingsportscars.com/type/photo/Lola/B08__80.html,https://www.racingsportscars.com/chassis/photo/B0880-HU03.html,NA
2010,24,Pescarolo 01 Evo #07 - Judd DB V8/90° 4v 3397 cc N/A,9,LMP2,OAK Racing (F),Open bodywork,Mid-engined,/Richard Hein (MC)/Jean-François Yvon (F)/Jacques Nicolet (F),NA,NA,Dunlop,04/01/2021,"Phil Boulton, Maurizio Beretta and Dominique Gasnerie",Pescarolo,01,#07,Evo,Result: 9th (56 laps behind the winner)Grid: 27th (3:52.0080),9th (56 laps behind the winner)Grid: 27th (3:52.0080),finished,27,3:52.0080,56 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2010/TN_Le_Mans-2010-06-13-024.jpg,https://www.racingsportscars.com/photo/2010/Le_Mans-2010-06-13-024.jpg,https://www.racingsportscars.com/make/photo/Pescarolo.html,https://www.racingsportscars.com/type/photo/Pescarolo/01.html,https://www.racingsportscars.com/chassis/photo/01-07.html,https://www.racingsportscars.com/suffix/photo/Pescarolo/01/Evo.html
2010,41,Ginetta-Zytek 09S/2 #07S-03 - Zytek ZG348 V8/90° 4v DOHC 3396 cc N/A,10,LMP2,Team Bruichladdich (GB),Open bodywork,Mid-engined,/Karim Ojjeh (KSA)/Tim Greaves (GB)/Gary Chalandon (F),NA,NA,Dunlop,04/01/2021,Dominique Gasnerie and Phil Boulton,Ginetta-Zytek,09S,#07S-03,/2,Result: 10th (56 laps behind the winner)Grid: 25th (3:51.1890),10th (56 laps behind the winner)Grid: 25th (3:51.1890),finished,25,3:51.1890,56 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2010/TN_Le_Mans-2010-06-13-041.jpg,https://www.racingsportscars.com/photo/2010/Le_Mans-2010-06-13-041.jpg,https://www.racingsportscars.com/make/photo/Ginetta-Zytek.html,https://www.racingsportscars.com/type/photo/Ginetta-Zytek/09S.html,https://www.racingsportscars.com/chassis/photo/07S-03.html,https://www.racingsportscars.com/suffix/photo/Ginetta-Zytek/09S/__2.html
