year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
2024,82,Chevrolet Corvette C8 Z06 GT3.R #008 (Pratt & Miller) - Chevrolet LT6.R V8/90° 4v DOHC 5463 cc N/A,38,GT3,TF Sport (GB),Closed bodywork,Mid-engined,Daniel Juncadella (E)/Sébastien Baud (F)/Hiroshi Koizumi (J),innovation/Q8 Oils,black/yellow,Goodyear,21/09/2024,Štěpán Koutník and Tooru Kitajima,Chevrolet,Corvette C8,#008,Z06 GT3.R,Result: 38th (33 laps behind the winner)Grid: 46th (3:56.1050) - 42nd fastest qualifier,38th (33 laps behind the winner)Grid: 46th (3:56.1050) - 42nd fastest qualifier,finished,46,3:56.1050,33 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-082.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-082.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette%20C8.html,https://www.racingsportscars.com/chassis/photo/C8Z06GT3.R-008.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette%20C8/Z06%20GT3.R.html
2024,86,Ferrari 296 GT3 #F171 GT3 5162 (Oreca) - Ferrari Tipo F163CE V6/120° 4v DOHC 2992 cc GDI,39,GT3,GR Racing (GB),Closed bodywork,Mid-engined,Daniel Serra (BR)/Riccardo Pera (I)/Mike Wainwright (GB),Kalmar,black (+orange),Goodyear,21/09/2024,Štěpán Koutník,Ferrari,296,#F171 GT3 5162,GT3,Result: 39th (33 laps behind the winner)Grid: 62nd (no time),39th (33 laps behind the winner)Grid: 62nd (no time),finished,62,no time,33 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-086.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-086.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/296.html,https://www.racingsportscars.com/chassis/photo/F171%20GT3%205162.html,https://www.racingsportscars.com/suffix/photo/Ferrari/296/GT3.html
2024,70,McLaren 720S GT3 Evo #PA1-050 - McLaren M840T V8/90° 4v DOHC 3994 cc Twin-Turbo,40,GT3,Inception Racing (GB),Closed bodywork,Mid-engined,Frederik Schandorff (DK)/Ollie Millroy (GB)/Brendan Iribe (USA),inception,red/black,Goodyear,21/09/2024,Štěpán Koutník and Tooru Kitajima,McLaren,720S,#PA1-050,GT3 Evo,Result: 40th (36 laps behind the winner)Grid: 40th (3:55.4060) - 41st fastest qualifier,40th (36 laps behind the winner)Grid: 40th (3:55.4060) - 41st fastest qualifier,finished,40,3:55.4060,36 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-070.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-070.jpg,https://www.racingsportscars.com/make/photo/McLaren.html,https://www.racingsportscars.com/type/photo/McLaren/720S.html,https://www.racingsportscars.com/chassis/photo/PA1-050.html,https://www.racingsportscars.com/suffix/photo/McLaren/720S/GT3%20Evo.html
2024,92,Porsche 992 GT3 R I #WP0ZZZ99ZRS299512 - Porsche M97/80 F6 4v DOHC 4194 cc N/A,41,GT3,Manthey PureRxcing (LT),Closed bodywork,Rear-engined,Aliaksandr Malykhin (BY)/Klaus Bachler (A)/Joel Sturm (D),PURE RXCING,white (+yellow/black),Goodyear,21/09/2024,Tooru Kitajima and Štěpán Koutník,Porsche,992 GT3 R,#WP0ZZZ99ZRS299512,I,Result: 41st (38 laps behind the winner)Grid: 41st (3:56.1890) - 44th fastest qualifier,41st (38 laps behind the winner)Grid: 41st (3:56.1890) - 44th fastest qualifier,finished,41,3:56.1890,38 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-092.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-092.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/992%20GT3%20R.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99ZRS299512.html,https://www.racingsportscars.com/suffix/photo/Porsche/992%20GT3%20R/I.html
2024,23,Oreca 07 #106 - Gibson GK428/Gibson Technology V8/90° 4v DOHC 4200 cc N/A,42,LMP2,United Autosports USA (USA),Closed bodywork,Mid-engined,"Filipe Albuquerque (P)/Ben Hanley (GB)/Ben Keating (USA)listed, never drove: Nicolas Pino (RCH)",reasch/AERO,dark blue (+orange/violet),Goodyear,21/09/2024,Štěpán Koutník and Tooru Kitajima,Oreca,07,#106,NA,Result: 42nd (39 laps behind the winner)Grid: 27th (3:33.4300) - 26th fastest qualifier,42nd (39 laps behind the winner)Grid: 27th (3:33.4300) - 26th fastest qualifier,finished,27,3:33.4300,39 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-023.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-023.jpg,https://www.racingsportscars.com/make/photo/Oreca.html,https://www.racingsportscars.com/type/photo/Oreca/07.html,https://www.racingsportscars.com/chassis/photo/07-LMP2-106.html,NA
2024,81,Chevrolet Corvette C8 Z06 GT3.R #007 (Pratt & Miller) - Chevrolet LT6.R V8/90° 4v DOHC 5463 cc N/A,43,GT3,TF Sport (GB),Closed bodywork,Mid-engined,Tom van Rompuy (B)/Charlie Eastwood (GB)/Rui Andrade (ANG),Sonangol,yellow/black,Goodyear,21/09/2024,Tooru Kitajima and Štěpán Koutník,Chevrolet,Corvette C8,#007,Z06 GT3.R,Result: 43rd (44 laps behind the winner)Grid: 57th (3:57.2960),43rd (44 laps behind the winner)Grid: 57th (3:57.2960),finished,57,3:57.2960,44 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-081.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-081.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette%20C8.html,https://www.racingsportscars.com/chassis/photo/C8Z06GT3.R-007.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette%20C8/Z06%20GT3.R.html
2024,60,Lamborghini Huracán GT3 Evo2 #ALSCGT202200149 - Lamborghini DGF V10/90° 4v DOHC 5204 cc N/A,44,GT3,Iron Lynx (I),Closed bodywork,Mid-engined,Matteo Cressoni (I)/Franck Perera (F)/Claudio Schiavoni (I),IRON LYNX,yellow (+black),Goodyear,21/09/2024,Štěpán Koutník and Tooru Kitajima,Lamborghini,Huracán,#ALSCGT202200149,GT3 Evo2,Result: 44th (53 laps behind the winner)Grid: 47th (3:56.1530) - 43rd fastest qualifier,44th (53 laps behind the winner)Grid: 47th (3:56.1530) - 43rd fastest qualifier,finished,47,3:56.1530,53 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-060.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-060.jpg,https://www.racingsportscars.com/make/photo/Lamborghini.html,https://www.racingsportscars.com/type/photo/Lamborghini/Hurac%c3%a1n.html,https://www.racingsportscars.com/chassis/photo/ALSCGT202200149.html,https://www.racingsportscars.com/suffix/photo/Lamborghini/Hurac%c3%a1n/GT3%20Evo2.html
2024,99,Porsche 963 #119 (Multimatic) - Porsche 9RD V8/90° 4v DOHC 4593 cc Twin-Turbo Hybrid,45,Hypercar,Proton Competition (D),Closed bodywork,Mid-engined,Neel Jani (CH)/Harry Tincknell (GB)/Julien Andlauer (F),F.A.T.,white (+green),Michelin,21/09/2024,Štěpán Koutník and Tooru Kitajima,Porsche,963,#119,NA,Result: 45th (60 laps behind the winner)Grid: 14th (3:25.9920) - 15th fastest qualifier,45th (60 laps behind the winner)Grid: 14th (3:25.9920) - 15th fastest qualifier,finished,14,3:25.9920,60 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-099.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-099.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/963.html,https://www.racingsportscars.com/chassis/photo/963_119.html,NA
2024,77,Ford Mustang GT3 Gen 7 #FP GT3 002 (Multimatic) - Ford Coyote V8/90° 4v DOHC 5408 cc N/A,46,GT3,Proton Competition (D),Closed bodywork,Front-engined,Ben Barker (GB)/Zacharie Robichon (CDN)/Ryan Hardwick (USA),"FORD, PERFORMANCE",light blue (+white/black),Goodyear,21/09/2024,Štěpán Koutník,Ford,Mustang GT3,#FP GT3 002,Gen 7,Result: 46th (84 laps behind the winner)Grid: 43rd (3:55.2630) - 40th fastest qualifier,46th (84 laps behind the winner)Grid: 43rd (3:55.2630) - 40th fastest qualifier,finished,43,3:55.2630,84 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-077.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-077.jpg,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Mustang%20GT3.html,https://www.racingsportscars.com/chassis/photo/FP%20GT3%20002.html,https://www.racingsportscars.com/suffix/photo/Ford/Mustang%20GT3/Gen%207.html
2024,20,BMW M Hybrid V8 #P22B 005 (Dallara) - BMW P66/3 V8/90° 4v DOHC 3999 cc Twin-Turbo Hybrid,NA,Hypercar,BMW M Team WRT (B),Closed bodywork,Mid-engined,René Rast (D)/Robin Frijns (NL)/Sheldon van der Linde (ZA),NA,white/black/blue/red (+violet/green/yellow),Michelin,21/09/2024,Tooru Kitajima and Štěpán Koutník,BMW,M Hybrid V8,#P22B 005,NA,Result: not classified (Insuficient distance covered) (215 laps behind the winner)Grid: 16th (3:26.2230) - 17th fastest qualifier,not classified (Insuficient distance covered) (215 laps behind the winner)Grid: 16th (3:26.2230) - 17th fastest qualifier,other,16,3:26.2230,NA,Insuficient distance covered,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-020.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-020.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M%20Hybrid%20V8.html,https://www.racingsportscars.com/chassis/photo/P22B%20005.html,NA
