year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
1974,7,Matra MS670 C #B-06 - Matra MS73 V12/60° OHC 2993 cc N/A,1,S3.0,Equipe Gitanes (F),Open bodywork,Mid-engined,Henri Pescarolo (F)/Gérard Larrousse (F),GITANES/Shell,blue (+green/white),Goodyear,23/11/2015,Gérard Rouxel and John Barrick,Matra,MS670,C,#B-06,Result: winner - (191.940 kph) - margin: 6 lapsGrid: 1st (3:35.8000),winner - (191.940 kph) - margin: 6 lapsGrid: 1st (3:35.8000),finished,1,3:35.8000,191.940 kph,NA,https://www.racingsportscars.com/tn/photo/1974/TN_Le_Mans-1974-06-16-007.jpg,https://www.racingsportscars.com/photo/1974/Le_Mans-1974-06-16-007.jpg,https://www.racingsportscars.com/make/photo/Matra.html,https://www.racingsportscars.com/type/photo/Matra/MS670.html,https://www.racingsportscars.com/suffix/photo/Matra/MS670/C.html,https://www.racingsportscars.com/chassis/photo/MS670B-06.html
1974,22,Porsche 911 Carrera RSR Turbo #911 460 9102 R13 - Porsche 911/78 F6 2v SOHC 2142 cc 1xKKK,2,S3.0,Martini Racing Team (D),Closed bodywork,Rear-engined,"Herbert Müller (CH)/Gijs van Lennep (NL)listed, never drove: Manfred Schurti (FL)",MARTINI,silver (+red/blue),Dunlop,18/09/2020,"Dominique Gasnerie, Alain Jourdainne Photos 24H Le Mans and Gérard Rouxel",Porsche,911 Carrera RSR Turbo,NA,#911 460 9102 R13,Result: 2nd (6 laps behind the winner)Grid: 7th (3:52.4000),2nd (6 laps behind the winner)Grid: 7th (3:52.4000),finished,7,3:52.4000,6 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1974/TN_Le_Mans-1974-06-16-022.jpg,https://www.racingsportscars.com/photo/1974/Le_Mans-1974-06-16-022.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera%20RSR%20Turbo.html,NA,https://www.racingsportscars.com/chassis/photo/911%20460%209102%20R13.html
1974,9,Matra MS670 C #B-05 - Matra MS73 V12/60° OHC 2993 cc N/A,3,S3.0,Equipe Gitanes (F),Open bodywork,Mid-engined,Jean-Pierre Jabouille (F)/François Migault (F),GITANES/Shell,blue (+orange/white),Goodyear,23/11/2015,"Gérard Rouxel, Alain Jourdainne Photos 24H Le Mans and John Barrick",Matra,MS670,C,#B-05,Result: 3rd (16 laps behind the winner)Grid: 6th (3:44.2000),3rd (16 laps behind the winner)Grid: 6th (3:44.2000),finished,6,3:44.2000,16 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1974/TN_Le_Mans-1974-06-16-009.jpg,https://www.racingsportscars.com/photo/1974/Le_Mans-1974-06-16-009.jpg,https://www.racingsportscars.com/make/photo/Matra.html,https://www.racingsportscars.com/type/photo/Matra/MS670.html,https://www.racingsportscars.com/suffix/photo/Matra/MS670/C.html,https://www.racingsportscars.com/chassis/photo/MS670B-05.html
1974,11,Mirage GR7 #704 - Ford Cosworth DFV V8/90° 4v DOHC 2993 cc N/A,4,S3.0,Gulf Research Racing Company (GB),Open bodywork,Mid-engined,"Derek Bell (GB)/Mike Hailwood (GB)listed, never drove: Vern Schuppan (AUS)",Gulf,light blue/orange,Firestone,23/11/2015,"Alain Jourdainne Photos 24H Le Mans, John Barrick and Gérard Rouxel",Mirage,GR7,NA,#704,Result: 4th (20 laps behind the winner)Grid: 4th (3:41.3000),4th (20 laps behind the winner)Grid: 4th (3:41.3000),finished,4,3:41.3000,20 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1974/TN_Le_Mans-1974-06-16-011.jpg,https://www.racingsportscars.com/photo/1974/Le_Mans-1974-06-16-011.jpg,https://www.racingsportscars.com/make/photo/Mirage.html,https://www.racingsportscars.com/type/photo/Mirage/GR7.html,NA,https://www.racingsportscars.com/chassis/photo/GR7__704.html
1974,71,Ferrari 365 GTB/4 #14407 - Ferrari V12 4390 cc N/A,5,GT,Raymond Touroul (F),Closed bodywork,Front-engined,"Cyril Grandet (F)/Dominique Bardini (F)listed, never drove: Raymond Touroul (F), Daniel Segard (F)",Shell/Ferrari CH. POZZI FRANCE,red (+blue),Michelin,18/09/2020,Dominique Gasnerie and Thomas Wolff,Ferrari,365 GTB/4,NA,#14407,Result: 5th 1st in GT (24 laps behind the winner)Grid: 20th (4:17.6000),5th 1st in GT (24 laps behind the winner)Grid: 20th (4:17.6000),finished,20,4:17.6000,24 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1974/TN_Le_Mans-1974-06-16-071.jpg,https://www.racingsportscars.com/photo/1974/Le_Mans-1974-06-16-071.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/365%20GTB__4.html,NA,https://www.racingsportscars.com/chassis/photo/14407%20%5b365%20GTB__4%5d.html
1974,54,Ferrari 365 GTB/4 #14141 - Ferrari V12 4390 cc N/A,6,GT,North American Racing Team (USA),Closed bodywork,Front-engined,"Dave Heinz (USA)/Alain Cudini (F)DNS: Teodoro Zeccoli (I); listed, never drove: Hervé Guyomart (F), Jean-Pierre Paoli (F), Alain Couderc (F)",BP/N.A.R.T.,red (+white/blue),Goodyear,28/12/2007,Alain Jourdainne Photos 24H Le Mans,Ferrari,365 GTB/4,NA,#14141,Result: 6th (25 laps behind the winner)Grid: 34th (4:23.2000),6th (25 laps behind the winner)Grid: 34th (4:23.2000),finished,34,4:23.2000,25 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1974/TN_Le_Mans-1974-06-16-054.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/365%20GTB__4.html,NA,https://www.racingsportscars.com/chassis/photo/14141%20%5b365%20GTB__4%5d.html
1974,66,Porsche 911 Carrera RSR 3.0 #911 460 9058 - Porsche 911/75; no.6840079 F6 2v SOHC 2994 cc N/A,7,GT,Porsche Club Romand (CH),Closed bodywork,Rear-engined,Bernard Chenevière (CH)/Peter Zbinden (CH)/Michel Dubois (F),TOBLERONE/MISCHLER,red/yellow,Dunlop,03/12/2022,ZANTAFIO56 (CC-BY-SA-2.0),Porsche,911 Carrera,RSR 3.0,#911 460 9058,Result: 7th (25 laps behind the winner)Grid: 32nd (4:22.8000),7th (25 laps behind the winner)Grid: 32nd (4:22.8000),finished,32,4:22.8000,25 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1974/TN_Le_Mans-1974-06-16-066.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR%203.0.html,https://www.racingsportscars.com/chassis/photo/911%20460%209058.html
1974,15,Ligier JS2 # - Maserati V6/90° 2991 cc N/A,8,S3.0,Automobiles Ligier (F),Closed bodywork,Mid-engined,"Jacques Laffite (F)/Alain Serpaggi (F)listed, never drove: Guy Ligier (F)",TOTAL/LIGIER MASERATI,blue (+white),Michelin,23/11/2015,Gérard Rouxel and Alain Jourdainne Photos 24H Le Mans,Ligier,JS2,NA,#,Result: 8th (27 laps behind the winner)Grid: 12th (3:58.7000),8th (27 laps behind the winner)Grid: 12th (3:58.7000),finished,12,3:58.7000,27 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1974/TN_Le_Mans-1974-06-16-015.jpg,https://www.racingsportscars.com/photo/1974/Le_Mans-1974-06-16-015.jpg,https://www.racingsportscars.com/make/photo/Ligier.html,https://www.racingsportscars.com/type/photo/Ligier/JS2.html,NA,https://www.racingsportscars.com/chassis/photo/JS2-001%23.html
1974,1,Ferrari 312 P #0872 - Ferrari 312 V12/60° 4v 2997 cc N/A,9,S3.0,North American Racing Team (USA),Open bodywork,Mid-engined,"Jean-Claude Andruet (F)/Teodoro Zeccoli (I)DNS: Jean-Francois Jaunet (F); listed, never drove: Hervé Guyomart (F), Dave Heinz (USA), Giancarlo Gagliardi (I)",BP/NART,red,Goodyear,28/06/2014,Alain Jourdainne Photos 24H Le Mans and Thomas Wolff,Ferrari,312 P,NA,#0872,Result: 9th (39 laps behind the winner)Grid: 24th (4:18.0000),9th (39 laps behind the winner)Grid: 24th (4:18.0000),finished,24,4:18.0000,39 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1974/TN_Le_Mans-1974-06-16-001.jpg,https://www.racingsportscars.com/photo/1974/Le_Mans-1974-06-16-001.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/312%20P.html,NA,https://www.racingsportscars.com/chassis/photo/0872%20%5b312P%5d.html
1974,70,Porsche 911 Carrera RSR #911 460 9059 - Porsche F6 2v SOHC 2994 cc N/A,10,GT,ASA Cachia - Bondy (F),Closed bodywork,Rear-engined,Raymond Touroul (F)/Henri Cachia (F)/Denis Rua (F)preliminary session only: Jacques Borras (F),opal lubrifiants/DARTY REAL,yellow (+blue/red),NA,28/12/2007,Alain Jourdainne Photos 24H Le Mans,Porsche,911 Carrera,RSR,#911 460 9059,Result: 10th (49 laps behind the winner)Grid: 22nd (4:17.6000),10th (49 laps behind the winner)Grid: 22nd (4:17.6000),finished,22,4:17.6000,49 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1974/TN_Le_Mans-1974-06-16-070.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR.html,https://www.racingsportscars.com/chassis/photo/911%20460%209059.html
