year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
1968,9,Ford GT40 #1075 - Ford 302 V8/90° 2v OHV 4942 cc N/A,1,S5.0,J. W. Automotive Engineering Ltd. (GB),Closed bodywork,Mid-engined,"Pedro Rodriguez (MEX)/Lucien Bianchi (B)listed, never drove: Jacky Ickx (B), Brian Redman (GB)",Gulf,light blue (+orange),Firestone,12/02/2013,Michel Guilloux and Don Grunbaum,Ford,GT40,#1075,NA,Result: winner - (185.536 kph) - margin: 5 lapsGrid: 4th (3:39.8000),winner - (185.536 kph) - margin: 5 lapsGrid: 4th (3:39.8000),finished,4,3:39.8000,185.536 kph,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Le_Mans-1968-09-29-009.jpg,https://www.racingsportscars.com/photo/1968/Le_Mans-1968-09-29-009.jpg,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/GT40.html,https://www.racingsportscars.com/chassis/photo/GT40%20P__1075.html,NA
1968,66,Porsche 907 LH #008 - Porsche Typ 771/1 F8 2v DOHC 2195 cc N/A,2,P3.0,Squadra Tartaruga (CH),Closed bodywork,Mid-engined,Rico Steinemann (CH)/Dieter Spoerry (CH),HART SKI,white (+orange),Dunlop,25/01/2011,Don Grunbaum,Porsche,907,#008,LH,Result: 2nd 1st in P3.0 (5 laps behind the winner)Grid: 22nd (3:57.4000),2nd 1st in P3.0 (5 laps behind the winner)Grid: 22nd (3:57.4000),finished,22,3:57.4000,5 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Le_Mans-1968-09-29-066.jpg,https://www.racingsportscars.com/photo/1968/Le_Mans-1968-09-29-066.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/907.html,https://www.racingsportscars.com/chassis/photo/907-008.html,https://www.racingsportscars.com/suffix/photo/Porsche/907/LH.html
1968,33,Porsche 908 Coupe #013 - Porsche Typ 908 F8 2v DOHC 2996 cc N/A,3,P3.0,Porsche System Engineering (D),Closed bodywork,Mid-engined,"Rolf Stommelen (D)/Jochen Neerpasch (D)listed, never drove: Vic Elford (GB), Peter Falk (D)","PORSCHE/SHELL
Registration: S-J 6271",white (+orange),Dunlop,12/02/2013,Michel Guilloux,Porsche,908,#013,Coupe,Result: 3rd (6 laps behind the winner)Grid: 2nd (3:35.8000),3rd (6 laps behind the winner)Grid: 2nd (3:35.8000),finished,2,3:35.8000,6 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Le_Mans-1968-09-29-033.jpg,https://www.racingsportscars.com/photo/1968/Le_Mans-1968-09-29-033.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/908.html,https://www.racingsportscars.com/chassis/photo/908-013.html,https://www.racingsportscars.com/suffix/photo/Porsche/908/Coupe.html
1968,39,Alfa Romeo T33/2 #75033-017 - Alfa Romeo V8 2v DOHC 1996 cc N/A,4,P2.0,Autodelta S.P.A. (I),Closed bodywork,Mid-engined,"Ignazio Giunti (I)/Nanni Galli (I)preliminary session only: Lucien Bianchi (B), Teodoro Zeccoli (I)",TRICO/BOSCH,red,Dunlop,18/04/2014,Don Grunbaum and Rallye Racing,Alfa Romeo,T33/2,#75033-017,NA,Result: 4th (9 laps behind the winner)Grid: 17th (3:54.1000),4th (9 laps behind the winner)Grid: 17th (3:54.1000),finished,17,3:54.1000,9 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Le_Mans-1968-09-29-039.jpg,https://www.racingsportscars.com/photo/1968/Le_Mans-1968-09-29-039.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__2.html,https://www.racingsportscars.com/chassis/photo/AR75033-017.html,NA
1968,38,Alfa Romeo T33/2 #75033-018 - Alfa Romeo V8 2v DOHC 1996 cc N/A,5,P2.0,Autodelta S.P.A. (I),Closed bodywork,Mid-engined,"/Spartaco Dini (I)/Carlo Facetti (I)listed, never drove: Udo Schütz (D), Lucien Bianchi (B)",TRICO,red (+yellow),Dunlop,23/11/2022,Rallye Racing and Jelle ter Veer,Alfa Romeo,T33/2,#75033-018,NA,Result: 5th (16 laps behind the winner)Grid: 21st (3:57.0000),5th (16 laps behind the winner)Grid: 21st (3:57.0000),finished,21,3:57.0000,16 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Le_Mans-1968-09-29-038.jpg,https://www.racingsportscars.com/photo/1968/Le_Mans-1968-09-29-038.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__2.html,https://www.racingsportscars.com/chassis/photo/AR75033-018.html,NA
1968,40,Alfa Romeo T33/2 - Alfa Romeo V8 2v DOHC 1996 cc N/A,6,P2.0,Autodelta S.P.A. (I),Closed bodywork,Mid-engined,Mario Casoni (I)/Giampiero Biscaldi (I),TRICO/BOSCH,red (+blue),Dunlop,NA,NA,Alfa Romeo,T33/2,NA,NA,Result: 6th (26 laps behind the winner)Grid: 23rd (3:57.4000),6th (26 laps behind the winner)Grid: 23rd (3:57.4000),finished,23,3:57.4000,26 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__2.html,NA,NA
1968,21,Ferrari 250 LM #8165 - Ferrari V12/60° 2v SOHC 3285 cc N/A,7,S5.0,David Piper (GB),Closed bodywork,Mid-engined,David Piper (GB)/Richard Attwood (GB),PIPER*ATTWOOD,green,Goodyear,NA,NA,Ferrari,250 LM,#8165,NA,Result: 7th (29 laps behind the winner)Grid: 28th (4:02.0000),7th (29 laps behind the winner)Grid: 28th (4:02.0000),finished,28,4:02.0000,29 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20LM.html,https://www.racingsportscars.com/chassis/photo/8165%20%5b250LM%5d.html,NA
1968,30,Alpine A220 #1734 - Renault Gordini T62 V8/90° 2v DOHC 2996 cc N/A,8,P3.0,Société des Automobiles Alpine (F),Closed bodywork,Mid-engined,André de Cortanze (F)/Jean Vinatier (F),ALPINE RENAULT/elf/CIBIÉ,blue (+orange/white/red),Michelin,NA,NA,Alpine,A220,#1734,NA,Result: 8th (34 laps behind the winner)Grid: 15th (3:53.7000),8th (34 laps behind the winner)Grid: 15th (3:53.7000),finished,15,3:53.7000,34 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Alpine.html,https://www.racingsportscars.com/type/photo/Alpine/A220.html,https://www.racingsportscars.com/chassis/photo/1734.html,NA
1968,57,Alpine A210 #1723 - Renault L4 1470 cc N/A,9,P2.0,Ecurie Savin-Calberson,Closed bodywork,Mid-engined,Alain LeGuellec (F)/Alain Serpaggi (F)preliminary session only: Christian Ethuin (F),ALPINE RENAULT,blue (+yellow/white/red),NA,NA,NA,Alpine,A210,#1723,NA,Result: 9th (42 laps behind the winner)Grid: 39th (4:23.2000),9th (42 laps behind the winner)Grid: 39th (4:23.2000),finished,39,4:23.2000,42 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Alpine.html,https://www.racingsportscars.com/type/photo/Alpine/A210.html,https://www.racingsportscars.com/chassis/photo/1723.html,NA
1968,52,Alpine A210 #1721 - Renault L4 1296 cc N/A,10,P1.3,Société des Automobiles Alpine (F),Closed bodywork,Mid-engined,"Jean-Luc Thérier (F)/Bernard Tramont (F)preliminary session only: Roland Lefevre (F), Trolle, Gérard Larrousse (F), François Cevert (F)",ALPINE RENAULT/elf/CIBIÉ,blue (+red/white),Dunlop,25/01/2011,Don Grunbaum,Alpine,A210,#1721,NA,Result: 10th (43 laps behind the winner)Grid: 41st (4:34.2000),10th (43 laps behind the winner)Grid: 41st (4:34.2000),finished,41,4:34.2000,43 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Le_Mans-1968-09-29-052.jpg,https://www.racingsportscars.com/photo/1968/Le_Mans-1968-09-29-052.jpg,https://www.racingsportscars.com/make/photo/Alpine.html,https://www.racingsportscars.com/type/photo/Alpine/A210.html,https://www.racingsportscars.com/chassis/photo/1721.html,NA
