year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
1977,31,Lola T294S #T290-HU22 - Ford Cosworth L4 1950 cc N/A,NA,S2.0,Dorset Racing Associates (GB),Open bodywork,Mid-engined,Martin Birrane (IRL)/Ernst Berg (NL)/Ian Harrower (GB)/Richard Down (GB),APHRODITE'S/sodiscar,white (+red/green),Goodyear,28/12/2007,Jacques Ubags and Alain Jourdainne Photos 24H Le Mans,Lola,T294S,NA,#T290-HU22,Result: not classified (130 laps behind the winner)Grid: 34th (4:17.4000),not classified (130 laps behind the winner)Grid: 34th (4:17.4000),other,34,4:17.4000,NA,130 laps behind the winner,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-031.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-031.jpg,https://www.racingsportscars.com/make/photo/Lola.html,https://www.racingsportscars.com/type/photo/Lola/T294S.html,NA,https://www.racingsportscars.com/chassis/photo/T290-HU22.html
1977,8,Alpine A442 #4422 - Renault Gordini V6/90° 1996 cc Turbo,NA,S+2.0,Equipe Renault Elf (F),Open bodywork,Mid-engined,Jacques Laffite (F)/Patrick Depailler (F),Renault elf,yellow/black (+white),Michelin,23/11/2015,"Paul Kooyman, Alain Jourdainne Photos 24H Le Mans and Gérard Rouxel",Alpine,A442,NA,#4422,Result: did not finish (Engine)Grid: 2nd (3:32.9000),did not finish (Engine)Grid: 2nd (3:32.9000),not_finished,2,3:32.9000,NA,Engine,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-008.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-008.jpg,https://www.racingsportscars.com/make/photo/Alpine.html,https://www.racingsportscars.com/type/photo/Alpine/A442.html,NA,https://www.racingsportscars.com/chassis/photo/4422.html
1977,39,Porsche 935 #930 770 0911 - Porsche 930/72; no:677 2910 F6 2v SOHC 2808 cc 1xKKK,NA,Gr.5,Gelo Racing Team (D),Closed bodywork,Rear-engined,"Hans Heyer (D)/Toine Hezemans (NL)/Tim Schenken (AUS)DNS: Klaus Ludwig (D); listed, never drove: Robert Morris",LOOS,red (+white/yellow),Goodyear,25/05/2012,"Alain Jourdainne Photos 24H Le Mans, Jacques Ubags and Kenneth John Gill",Porsche,935,NA,#930 770 0911,Result: did not finish (Fuel injection pump)Grid: 8th (3:40.3000),did not finish (Fuel injection pump)Grid: 8th (3:40.3000),not_finished,8,3:40.3000,NA,Fuel injection pump,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-039.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-039.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,NA,https://www.racingsportscars.com/chassis/photo/930%20770%200911.html
1977,9,Alpine A442 #4423 - Renault Gordini V6/90° 1996 cc Turbo,NA,S+2.0,Equipe Renault Elf (F),Open bodywork,Mid-engined,Jean-Pierre Jabouille (F)/Derek Bell (GB),Renault elf,yellow/black (+white),Michelin,23/11/2015,"Alain Jourdainne Photos 24H Le Mans, Gérard Rouxel and Jacques Ubags",Alpine,A442,NA,#4423,Result: did not finish (Engine)Grid: 1st (3:31.7000),did not finish (Engine)Grid: 1st (3:31.7000),not_finished,1,3:31.7000,NA,Engine,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-009.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-009.jpg,https://www.racingsportscars.com/make/photo/Alpine.html,https://www.racingsportscars.com/type/photo/Alpine/A442.html,NA,https://www.racingsportscars.com/chassis/photo/4423.html
1977,96,Porsche 911 Carrera RSR #911 360 0960 - Porsche F6 2v SOHC 2994 cc N/A,NA,GTX,GVEA Porsche Club Romand (CH),Closed bodywork,Rear-engined,"André Savary (CH)/Jean-Robert Corthay (CH)/Antoine Salamin (CH)listed, never drove: Juan Fernandez (E), Nicolas Bührer (CH), Claude Haldi (CH)",Brazilia,white,NA,28/12/2007,Alain Jourdainne Photos 24H Le Mans,Porsche,911 Carrera,RSR,#911 360 0960,Result: did not finish (Head gasket)Grid: 44th (4:26.3000),did not finish (Head gasket)Grid: 44th (4:26.3000),not_finished,44,4:26.3000,NA,Head gasket,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-096.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-096.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR.html,https://www.racingsportscars.com/chassis/photo/911%20360%200960.html
1977,78,Porsche 911 Carrera RSR 3.0 #911 460 9064 - Porsche F6 2v SOHC 2994 cc N/A,NA,IMSA,Charles Ivey Engineering (GB),Closed bodywork,Rear-engined,"Pete Lovett (GB)John Cooper (GB)/John Rulon-Miller (USA)DNS: Pierre Laffeach (F); listed, never drove: Charles Ivey (GB), Tom Waugh (USA)",NA,white (+blue),NA,29/01/2006,Paul Kooyman,Porsche,911 Carrera,RSR 3.0,#911 460 9064,Result: did not finish (Engine)Grid: 51st (4:28.3000),did not finish (Engine)Grid: 51st (4:28.3000),not_finished,51,4:28.3000,NA,Engine,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-078.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-078.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR%203.0.html,https://www.racingsportscars.com/chassis/photo/911%20460%209064.html
1977,80,Porsche 911 Carrera RS - Porsche F6 2v SOHC 2993 cc N/A,NA,IMSA,Bernard Beguin,Closed bodywork,Rear-engined,"Bernard Béguin (F)/Jean-Claude Briavoine (F)/Robert Boubet (F)listed, never drove: Guy Fréquelin (F), Raymond Touroul (F)",air industrie/ESSO,white (+blue/red),Dunlop,11/03/2005,Jacques Ubags,Porsche,911 Carrera,RS,NA,Result: did not finish (Head gasket)Grid: 40th (4:25.0000),did not finish (Head gasket)Grid: 40th (4:25.0000),not_finished,40,4:25.0000,NA,Head gasket,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-080.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-080.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RS.html,NA
1977,25,Chevron B36 - ROC Chrysler-Simca L4 1996 cc N/A,NA,S2.0,Société R.O.C. (F),Open bodywork,Mid-engined,"Max Cohen-Olivar (MA)/Michel Dubois (F)/Alain Flotard (F)listed, never drove: Jacques Henry (F), Albert Dufréne (F), Rémy Julienne (F), Michel Pignard (F), François Servanin (F), Jean-Claude Justice (F)",MODYLOOK,blue/red/brown,NA,11/03/2005,Jacques Ubags,Chevron,B36,NA,NA,Result: did not finish (Engine)Grid: 26th (4:09.7000),did not finish (Engine)Grid: 26th (4:09.7000),not_finished,26,4:09.7000,NA,Engine,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-025.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-025.jpg,https://www.racingsportscars.com/make/photo/Chevron.html,https://www.racingsportscars.com/type/photo/Chevron/B36.html,NA,NA
1977,21,Sauber C5 #001 - BMW M12 L4 1998 cc N/A,NA,S2.0,PP Sauber AG. - Francy Racing (CH),Open bodywork,Mid-engined,"Eugen Strähl (CH)/Peter Bernhard (CH)listed, never drove: Loris Kessel (CH), Kurt Roth (CH)",Shell/SAUBER/Francy Racing,red (+black),NA,29/01/2006,Paul Kooyman,Sauber,C5,NA,#001,Result: did not finish (Oil leak)Grid: 30th (4:13.2000),did not finish (Oil leak)Grid: 30th (4:13.2000),not_finished,30,4:13.2000,NA,Oil leak,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-021.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-021.jpg,https://www.racingsportscars.com/make/photo/Sauber.html,https://www.racingsportscars.com/type/photo/Sauber/C5.html,NA,https://www.racingsportscars.com/chassis/photo/76-C05-001.html
1977,59,Porsche 934 #930 670 0171 - Porsche F6 2v SOHC 2993 cc Single-Turbo,NA,GT,Schiller Racing (CH),Closed bodywork,Rear-engined,"François Servanin (F)/Franz Hummel (F)/Laurent Ferrier (F)listed, never drove: Claude Haldi (CH), Heinz Schiller (CH)",MECCARILLOS/BP,red (+yellow),NA,23/11/2015,Jacques Ubags and Gérard Rouxel,Porsche,934,NA,#930 670 0171,Result: did not finish (Gearbox)Grid: 23rd (4:05.4000),did not finish (Gearbox)Grid: 23rd (4:05.4000),not_finished,23,4:05.4000,NA,Gearbox,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-059.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-059.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,NA,https://www.racingsportscars.com/chassis/photo/930%20670%200171.html
