track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
sebring,1973-03-24,5,Chevrolet Corvette C3 # - Chevrolet V8/90° 2v OHV N/A,49,GTO,Race Enterprise & Developments (USA),Closed hardtop bodywork,Front-engined,Dave Heinz (USA)/Jerry Thompson (USA)DNS: Dana English (USA),MARATHON/CHAMPIONCIBIÉ,white (+red),Goodyear,28/12/2007,Fred Lewis,Chevrolet,Corvette,C3,#,Result: 49th (116 laps behind the winner)Grid: 2nd (2:58.0100),49th (116 laps behind the winner)Grid: 2nd (2:58.0100),finished,2,2:58.0100,116 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-005.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-005.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette/C3.html,https://www.racingsportscars.com/chassis/photo/Corvette-C3-Heinz%23.html
sebring,1973-03-24,48,Chevrolet Corvette # - Chevrolet V8/90° 2v OHV 7000 cc N/A,50,GTO,John Greenwood Racing (USA),-,Front-engined,John Greenwood (USA)/Don Yenko (USA),NA,NA,NA,NA,NA,Chevrolet,Corvette,NA,#,Result: 50th - did not finish (Engine)Grid: 8th (3:03.1700),50th - did not finish (Engine)Grid: 8th (3:03.1700),finished,8,3:03.1700,NA,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,NA,https://www.racingsportscars.com/chassis/photo/Corvette-Greenwood-48%23.html
sebring,1973-03-24,40,Chevrolet Corvette C3 # - Chevrolet V8/90° 2v OHV N/A,51,GTO,Pironell Racing (USA),Closed hardtop bodywork,Front-engined,Tom Nell (USA)/Richard Dagiel (USA)/Joe Pirrotta (USA),Esser,NA,Goodyear,04/05/2008,Louis Galanos,Chevrolet,Corvette,C3,#,Result: 51st - did not finish (Engine)Grid: 20th (3:09.9600),51st - did not finish (Engine)Grid: 20th (3:09.9600),finished,20,3:09.9600,NA,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-040.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-040.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette/C3.html,https://www.racingsportscars.com/chassis/photo/Corvette-C3-Pirrotta%23.html
sebring,1973-03-24,138,Mazda RX-2 # - Mazda 2R Rotary,52,TU,PDF Racing (USA),Closed bodywork,Front-engined,Paul Fleming (USA)/Roger Mandeville (USA),CIBIÉ,NA,NA,27/09/2008,Louis Galanos,Mazda,RX-2,NA,#,Result: 52nd - did not finishGrid: 71st (no time),52nd - did not finishGrid: 71st (no time),finished,71,no time,NA,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-138.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-138.jpg,https://www.racingsportscars.com/make/photo/Mazda.html,https://www.racingsportscars.com/type/photo/Mazda/RX-2.html,NA,https://www.racingsportscars.com/chassis/photo/RX2-Fleming%23.html
sebring,1973-03-24,87,Ford Mustang - Ford N/A,53,TO,Miller/Hey (USA),-,Front-engined,Sam Miller (USA)/Rob Henry (USA),NA,NA,NA,NA,NA,Ford,Mustang,NA,NA,Result: 53rd - did not finishGrid: 34th (3:18.5300),53rd - did not finishGrid: 34th (3:18.5300),finished,34,3:18.5300,NA,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Mustang.html,NA,NA
sebring,1973-03-24,2,MG B - BMC B series L4 2v OHV 1800 cc N/A,54,GTU,Dean Donley,Closed hardtop bodywork,Front-engined,Dean Donley (USA)/Ben Scott (USA),NA,red (+white),Goodyear,10/02/2012,John B. MacNeill and Louis Galanos,MG,B,NA,NA,Result: 54th - did not finishGrid: 60th (no time),54th - did not finishGrid: 60th (no time),finished,60,no time,NA,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-002.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-002.jpg,https://www.racingsportscars.com/make/photo/MG.html,https://www.racingsportscars.com/type/photo/MG/B.html,NA,NA
sebring,1973-03-24,46,Porsche 911 S # - Porsche F6 2v SOHC N/A,55,GTU,Bytzek Automotive (CDN),-,Rear-engined,Klaus Bytzek (CDN)/Rudy Bartling (CDN),NA,NA,NA,NA,NA,Porsche,911,S,#,Result: 55th - did not finishGrid: 33rd (3:18.3000),55th - did not finishGrid: 33rd (3:18.3000),finished,33,3:18.3000,NA,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,https://www.racingsportscars.com/chassis/photo/911-Bytzek%23.html
sebring,1973-03-24,0,Chevrolet Camaro II # - Chevrolet V8/90° 2v OHV N/A,56,TO,Byron Cook Racing (USA),Closed bodywork,Front-engined,John Elliott (USA)/Bill McDill (USA),NA,light,Firestone,27/09/2008,Louis Galanos,Chevrolet,Camaro,II,#,Result: 56th - did not finishGrid: 39th (3:19.2700),56th - did not finishGrid: 39th (3:19.2700),finished,39,3:19.2700,NA,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-000.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-000.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Camaro/II.html,https://www.racingsportscars.com/chassis/photo/Camaro-II-ByronCook%23.html
sebring,1973-03-24,34,Chevrolet Corvette C3 # - Chevrolet V8/90° 2v OHV N/A,57,GTO,Murray Racing Team (USA),Closed hardtop bodywork,Front-engined,Ike Knupp (USA)/Bob Tullius (USA)DNS: Mike Murray (USA),CIBIĚ,NA,Goodyear,28/12/2007,Fred Lewis,Chevrolet,Corvette,C3,#,Result: 57th - did not finish (Engine)Grid: 3rd (2:59.4200),57th - did not finish (Engine)Grid: 3rd (2:59.4200),finished,3,2:59.4200,NA,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-034.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-034.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette/C3.html,https://www.racingsportscars.com/chassis/photo/Corvette-Greenwood-1968%23.html
sebring,1973-03-24,98,Shelby GT500 - Ford N/A,58,GTO,Loren Ross,Closed bodywork,-,Loren Pearson (USA)/William Spencer (USA)/Brian Taylor (USA),CSC/CIBIÉ,NA,NA,11/06/2006,Rob Weber robweber.net,Shelby,GT500,NA,NA,Result: 58th - did not finishGrid: 69th (no time),58th - did not finishGrid: 69th (no time),finished,69,no time,NA,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-098.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-098.jpg,https://www.racingsportscars.com/make/photo/Shelby.html,https://www.racingsportscars.com/type/photo/Shelby/GT500.html,NA,NA
