url,table_id,field,value
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,2,body / frame,Unitary Steel & Aluminum Monocoque w/ CFRP Hood
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,2,suspension (f),"MacPherson Struts w/ Gas-Pressure Dampers, Anti-Roll Bar"
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,2,suspension (r),"Transverse Control Arms w/ Coil Springs over Gas-Pressure Dampers, Anti-Roll Bar"
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,2,brakes,"380 mm Brake Rotors w/ 6-piston calipers (front), 4-piston calipers (rear), Optional PCCB"
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,2,tires,"Unknown, expected: Michelin Pilot Sport Cup 2 tires"
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,2,transmission,7-Speed PDK Dual-Clutch Semi-Automatic
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,engine,"DOHC 24-valve flat-6, aluminum block & heads, direct fuel injection"
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,displacement (liters),4.0L
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,position,"Mid-engined, Longitudinal"
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,aspiration,Naturally Aspirated
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,power (hp),493 HP
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,power (hp) / liter,123.25 hp / liter
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,power (hp) / weight,0.35 hp / kg
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,torque,331 lb-ft
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,0-60 mph time,3.2 seconds
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,0-124 mph time,10.9 seconds
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,top speed,191 MPH
https://www.stuttcars.com/porsche-718-982-spyder-rs-2024-present/,3,fuel economy (combined / city / highway),Unknown / Unknown / 18.3 MPG
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,modification,2019 718 982 GT4
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,engine,4.0B6
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,kw,309
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,lb-ft,309
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,nm,420
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,gearbox,manual 6-speed
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,60 mph,4.2 sec.
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,100 km/h,4.4 sec.
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,160 km/h,9.0 sec.
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,200 km/h,13.8 sec.
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,mph,189
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,km/h,304
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,weight,1420 kg 3131 lb
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,w/lb,98.7
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,w/kg,218
https://www.stuttcars.com/porsche-718-cayman-gt4/,1,nordschleife,Around 7:30
https://www.stuttcars.com/porsche-911-turbo-3-0-930/,1,model year,Series
https://www.stuttcars.com/porsche-911-turbo-3-0-930/,1,1975,H-series
https://www.stuttcars.com/porsche-911-turbo-3-0-930/,1,1976,I-series
https://www.stuttcars.com/porsche-911-turbo-3-0-930/,1,1976,I-series USA version
https://www.stuttcars.com/porsche-911-turbo-3-0-930/,1,1977,J-series
https://www.stuttcars.com/porsche-911-turbo-3-0-930/,1,1977,J-series USA version
https://www.stuttcars.com/porsche-911-carrera-3-2-1984-1989/,1,model year,Series
https://www.stuttcars.com/porsche-911-carrera-3-2-1984-1989/,1,1984,E-series
https://www.stuttcars.com/porsche-911-carrera-3-2-1984-1989/,1,1985,F-series
https://www.stuttcars.com/porsche-911-carrera-3-2-1984-1989/,1,1986,G-series
https://www.stuttcars.com/porsche-911-carrera-3-2-1984-1989/,1,1987,H-series
https://www.stuttcars.com/porsche-911-carrera-3-2-1984-1989/,1,1988,I-series
https://www.stuttcars.com/porsche-911-carrera-3-2-1984-1989/,1,1989,J-series
https://www.stuttcars.com/porsche-911-sc-g-series-1978-1983/,1,model year,Series
https://www.stuttcars.com/porsche-911-sc-g-series-1978-1983/,1,1978,K-series
https://www.stuttcars.com/porsche-911-sc-g-series-1978-1983/,1,1979,L-series
https://www.stuttcars.com/porsche-911-sc-g-series-1978-1983/,1,1980,A-series
https://www.stuttcars.com/porsche-911-sc-g-series-1978-1983/,1,1981,B-series
https://www.stuttcars.com/porsche-911-sc-g-series-1978-1983/,1,1982,C-series
