year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
2018,40,Aston Martin V8 Vantage - Aston Martin V8/90° 4v DOHC N/A,63,SP8,AMR Performance Centre,Closed bodywork,Front-engined,Jamie Chadwick (GB)/Peter Cate (GB)/Jonathan Adam (GB)/Alex Lynn (GB),NA,NA,NA,22/02/2019,Thomas Morper,Aston Martin,V8 Vantage,NA,NA,Result: 63rd (23 laps behind the winner)Grid: 53rd (9:12.9580) - 56th fastest qualifier,63rd (23 laps behind the winner)Grid: 53rd (9:12.9580) - 56th fastest qualifier,finished,53,9:12.9580,23 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-040.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-040.jpg,https://www.racingsportscars.com/make/photo/Aston%20Martin.html,https://www.racingsportscars.com/type/photo/Aston%20Martin/V8%20Vantage.html,NA,NA
2018,144,Porsche Cayman - Porsche,64,V5,Pixum Team Adrenalin Motorsport,-,-,Christian Büllesbach (D)/Andreas Schettler (D)/Ioannis Smyrlis (D)/Carlos Arimon (E),NA,NA,NA,22/02/2019,Thomas Morper,Porsche,Cayman,NA,NA,Result: 64th 1st in V5 (24 laps behind the winner)Grid: 105th (10:05.4460) - 110th fastest qualifier,64th 1st in V5 (24 laps behind the winner)Grid: 105th (10:05.4460) - 110th fastest qualifier,finished,105,10:05.4460,24 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-144.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-144.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/Cayman.html,NA,NA
2018,126,Renault Clio RS Cup - Renault,65,SP3,Avia Racing,Closed bodywork,Front-engined,Stephan Epp (D)/Gerrit Holthaus (D)/Tobias Overbeck (D)/Daniel Overbeck (D),NA,NA,NA,22/02/2019,Thomas Morper,Renault,Clio,NA,RS Cup,Result: 65th 1st in SP3 (24 laps behind the winner)Grid: 114th (10:14.6050) - 119th fastest qualifier,65th 1st in SP3 (24 laps behind the winner)Grid: 114th (10:14.6050) - 119th fastest qualifier,finished,114,10:14.6050,24 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-126.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-126.jpg,https://www.racingsportscars.com/make/photo/Renault.html,https://www.racingsportscars.com/type/photo/Renault/Clio.html,NA,https://www.racingsportscars.com/suffix/photo/Renault/Clio/RS%20Cup.html
2018,151,BMW 330i E92 - BMW,66,V5,Team Schirmer,-,-,Christopher Nigemeier/Sandro Petrozziello/Sven Schädler (D)/Stephen Stumpf,NA,NA,NA,22/02/2019,Thomas Morper,BMW,330i,NA,E92,Result: 66th (24 laps behind the winner)Grid: 110th (10:10.7520) - 115th fastest qualifier,66th (24 laps behind the winner)Grid: 110th (10:10.7520) - 115th fastest qualifier,finished,110,10:10.7520,24 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-151.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-151.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/330i.html,NA,https://www.racingsportscars.com/suffix/photo/BMW/330i/E92.html
2018,143,Porsche Cayman - Porsche,67,V5,Pixum Team Adrenalin Motorsport,-,-,Urs Zünd (CH)/Christian Teichert (D)/Daniel Attallah/Carsten Palluth (D),NA,NA,NA,22/02/2019,Thomas Morper,Porsche,Cayman,NA,NA,Result: 67th (25 laps behind the winner)Grid: 111th (10:11.4990) - 116th fastest qualifier,67th (25 laps behind the winner)Grid: 111th (10:11.4990) - 116th fastest qualifier,finished,111,10:11.4990,25 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-143.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-143.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/Cayman.html,NA,NA
2018,155,BMW 325i - BMW,68,V4,Securtal Sorg Rennsport,-,-,Torsten Kratz (D)/Kevin Totz/Cedrik Totz (D)/Oliver Frisse (D),NA,NA,NA,22/02/2019,Thomas Morper,BMW,325i,NA,NA,Result: 68th 1st in V4 (25 laps behind the winner)Grid: 126th (10:32.6110) - 132nd fastest qualifier,68th 1st in V4 (25 laps behind the winner)Grid: 126th (10:32.6110) - 132nd fastest qualifier,finished,126,10:32.6110,25 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-155.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-155.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/325i.html,NA,NA
2018,160,BMW 325i - BMW,69,V4,Securtal Sorg Rennsport,-,-,Olaf Meyer (D)/Joe Moore (GB)/Philipp Hagnauer (CH),NA,NA,NA,22/02/2019,Thomas Morper,BMW,325i,NA,NA,Result: 69th (26 laps behind the winner)Grid: 124th (10:29.1949) - 130th fastest qualifier,69th (26 laps behind the winner)Grid: 124th (10:29.1949) - 130th fastest qualifier,finished,124,10:29.1949,26 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-160.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-160.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/325i.html,NA,NA
2018,114,Toyota GT86 - Toyota,70,SP3,Manheller Racing (GB),-,-,Manuel Assmann/Moritz Gusenbauer (D)/Werner Gusenbauer (D)/Dale Lomas (D),NA,NA,NA,22/02/2019,Thomas Morper,Toyota,GT86,NA,NA,Result: 70th (26 laps behind the winner)Grid: 119th (10:25.1490) - 125th fastest qualifier,70th (26 laps behind the winner)Grid: 119th (10:25.1490) - 125th fastest qualifier,finished,119,10:25.1490,26 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-114.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-114.jpg,https://www.racingsportscars.com/make/photo/Toyota.html,https://www.racingsportscars.com/type/photo/Toyota/GT86.html,NA,NA
2018,238,BMW M235i Racing Cup - BMW 3000 cc Twin-Turbo,71,Kl. Cup,Walkenhorst Motorsport,Closed bodywork,Front-engined,Michael Mohr (D)/Guy Stewart (NZ)/Dirk Groneck (D)/Tim Groneck (D),NA,NA,NA,22/02/2019,Thomas Morper,BMW,M235i,NA,Racing Cup,Result: 71st (26 laps behind the winner)Grid:,71st (26 laps behind the winner)Grid:,finished,NA,NA,26 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-238.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-238.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M235i.html,NA,https://www.racingsportscars.com/suffix/photo/BMW/M235i/Racing%20Cup.html
2018,203,KTM X-Bow GT4 - Audi TFSI L4 1984 cc Turbo,72,Cup-X,Isert Motorsport,Closed bodywork,Mid-engined,Arne Hoffmeister (D)/Florian Wolf (D)/Nils Jung/Robert Schröder (D),NA,NA,NA,22/02/2019,Thomas Morper,KTM,X-Bow,NA,GT4,Result: 72nd (26 laps behind the winner)Grid: 37th (8:55.7400) - 39th fastest qualifier,72nd (26 laps behind the winner)Grid: 37th (8:55.7400) - 39th fastest qualifier,finished,37,8:55.7400,26 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-203.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-203.jpg,https://www.racingsportscars.com/make/photo/KTM.html,https://www.racingsportscars.com/type/photo/KTM/X-Bow.html,NA,https://www.racingsportscars.com/suffix/photo/KTM/X-Bow/GT4.html
