year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url
1991,15,BMW M3 - BMW,1,Class 13,BMW M Team Schnitzer,Closed bodywork,Front-engined,Joachim Winkelhock (D)/Armin Hahne (D)/Kris Nissen (DK),NA,NA,NA,NA,NA,BMW,M3,NA,Result: winner - (145.030 kph) - margin: 6 lapsGrid:,winner - (145.030 kph) - margin: 6 lapsGrid:,finished,NA,NA,145.030 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
1991,218,Porsche 911 Carrera 2 - Porsche,2,Class 11,Goebel Sport Duisburg,Closed bodywork,Rear-engined,Jürgen von Gartzen (D)/Harald Grohs (D)/Olaf Manthey (D)/Axel Göbel,NA,NA,NA,NA,NA,Porsche,911 Carrera,2,Result: 2nd 1st in Class 11 (6 laps behind the winner)Grid:,2nd 1st in Class 11 (6 laps behind the winner)Grid:,finished,NA,NA,6 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/2.html
1991,215,Porsche 911 Carrera 2 - Porsche,3,Class 11,Team Löhr und Becker Porsche Koblenz,Closed bodywork,Rear-engined,"Jürgen Alzen (D)/Uwe Alzen (D)/""hpl liemans""/Thomas Lischke",NA,NA,NA,NA,NA,Porsche,911 Carrera,2,Result: 3rd (6 laps behind the winner)Grid:,3rd (6 laps behind the winner)Grid:,finished,NA,NA,6 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/2.html
1991,210,Porsche 911 Carrera 2 - Porsche,4,Class 11,,Closed bodywork,Rear-engined,Rolf Rosenkranz (D)/Axel Göbel/Heinz-Otto Fritzsche (D)/Jürgen Fritzsche (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,2,Result: 4th (9 laps behind the winner)Grid:,4th (9 laps behind the winner)Grid:,finished,NA,NA,9 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/2.html
1991,133,BMW M3 - BMW,5,Class 7,ATE Alfred Teves GmbH Frankfurt (D),Closed bodywork,Front-engined,Manfred Wollgarten (D)/Karl-Heinz Hufstadt/Walter Hering (D)/Annette Meeuvissen (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 5th 1st in Class 7 (10 laps behind the winner)Grid:,5th 1st in Class 7 (10 laps behind the winner)Grid:,finished,NA,NA,10 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
1991,131,BMW M3 - BMW,6,Class 7,MSC Adenau,Closed bodywork,Front-engined,Johannes Scheid (D)/Helmut Hennes (D)/Ludwig Hölzl (D)/Herbert Lingmann (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 6th (11 laps behind the winner)Grid:,6th (11 laps behind the winner)Grid:,finished,NA,NA,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
1991,138,BMW M3 - BMW N/A,7,Class 7,AC Radevormwald e. V.,Closed bodywork,Front-engined,Martin Wagenstetter (D)/Franz Wittmann/Reinhard Schönstein/Sepp Reiter (A),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 7th (11 laps behind the winner)Grid:,7th (11 laps behind the winner)Grid:,finished,NA,NA,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
1991,214,Porsche 911 Carrera - Porsche,8,Class 11,Horst Derkum GmbH Bergisch Gladbach,Closed bodywork,Rear-engined,Heinz Dorr/Günter Döbler (D)/Peter Faubel (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 8th (11 laps behind the winner)Grid:,8th (11 laps behind the winner)Grid:,finished,NA,NA,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
1991,205,Porsche 911 Carrera 2 - Porsche,9,Class 11,,Closed bodywork,Rear-engined,Rolf Pichl/René Vogt/Bernd Mayländer (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,2,Result: 9th (12 laps behind the winner)Grid:,9th (12 laps behind the winner)Grid:,finished,NA,NA,12 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/2.html
1991,28,BMW M3 - BMW,10,Class 2,,Closed bodywork,Front-engined,Jochen Felder (D)/Georg Severich (D)/Michael Prym (A),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 10th 1st in Class 2 (13 laps behind the winner)Grid:,10th 1st in Class 2 (13 laps behind the winner)Grid:,finished,NA,NA,13 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
