year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
2019,6,Mercedes-AMG GT3 # - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,NA,SP9,Mercedes-AMG Team Black Falcon,Closed bodywork,Front-engined,Patrick Assenheimer (D)/Nico Bastian (D)/Yelmer Buurman (NL)/Gabriele Piana (I),NA,NA,NA,14/07/2019,Thomas Morper,Mercedes-AMG,GT3,NA,#,Result: did not finishGrid: 6th (8:12.9960),did not finishGrid: 6th (8:12.9960),not_finished,6,8:12.9960,NA,8:12.9960,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-006.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-006.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,NA,https://www.racingsportscars.com/chassis/photo/AMG-GT3-BlackFalcon-05%23.html
2019,30,Porsche 991 GT3 R # - Porsche F6 4v DOHC 3996 cc N/A,NA,SP9,Frikadelli Racing Team (D),Closed bodywork,Rear-engined,Klaus Abbelen (D)/Alex Müller (D)/Robert Renauer (D)/Thomas Preining (A),NA,NA,NA,14/07/2019,Thomas Morper,Porsche,991 GT3 R,NA,#,Result: did not finishGrid: 34th (8:28.5910),did not finishGrid: 34th (8:28.5910),not_finished,34,8:28.5910,NA,8:28.5910,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-030.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-030.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20R.html,NA,https://www.racingsportscars.com/chassis/photo/991R-Frikadelli-01%23.html
2019,31,Porsche 991 GT3 R II # - Porsche F6 4v DOHC 3996 cc N/A,NA,SP9,Frikadelli Racing Team (D),Closed bodywork,Rear-engined,Romain Dumas (F)/Matt Campbell (AUS)/Sven Müller (D)/Mathieu Jaminet (F),NA,NA,NA,14/07/2019,Thomas Morper,Porsche,991 GT3 R,II,#,Result: did not finishGrid: 5th (8:12.7810),did not finishGrid: 5th (8:12.7810),not_finished,5,8:12.7810,NA,8:12.7810,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-031.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-031.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20R.html,https://www.racingsportscars.com/suffix/photo/Porsche/991%20GT3%20R/II.html,https://www.racingsportscars.com/chassis/photo/991R-Frikadelli-02%23.html
2019,7,Lamborghini Huracán GT3 Evo - Lamborghini V10/90° 4v DOHC 5204 cc N/A,NA,SP9,Konrad Motorsport GmbH,Closed bodywork,Mid-engined,Marco Mapelli (I)/Axcil Jefferies (ZW)/Michele di Martino (D)/Michael Lyons (GB),NA,NA,NA,14/07/2019,Thomas Morper,Lamborghini,Huracán,GT3 Evo,NA,Result: did not finishGrid: 11th (8:14.9320),did not finishGrid: 11th (8:14.9320),not_finished,11,8:14.9320,NA,8:14.9320,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-007.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-007.jpg,https://www.racingsportscars.com/make/photo/Lamborghini.html,https://www.racingsportscars.com/type/photo/Lamborghini/Hurac%c3%a1n.html,https://www.racingsportscars.com/suffix/photo/Lamborghini/Hurac%c3%a1n/GT3%20Evo.html,NA
2019,48,Mercedes-AMG GT3 - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,NA,SP9,Mercedes-AMG Team Mann Filter,Closed bodywork,Front-engined,Christian Hohenadel (D)/Lance Arnold (D)/Raffaele Marciello (I)/Maximilian Götz (D),NA,NA,NA,14/07/2019,Thomas Morper,Mercedes-AMG,GT3,NA,NA,Result: did not finishGrid: 2nd (8:11.0470),did not finishGrid: 2nd (8:11.0470),not_finished,2,8:11.0470,NA,8:11.0470,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-048.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-048.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,NA,NA
2019,118,Opel Calibra TJ-R - Opel,NA,SP3,MSC Adenau e.V.,Closed bodywork,Front-engined,Tobias Jung (D)/Daniel Jenichen (D)/Christian Rziczny (D)/Bernd Küpper (D),NA,NA,NA,14/07/2019,Thomas Morper,Opel,Calibra,TJ-R,NA,Result: did not finishGrid: 152nd (11:05.8660) - 155th fastest qualifier,did not finishGrid: 152nd (11:05.8660) - 155th fastest qualifier,not_finished,152,11:05.8660,NA,11:05.8660,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-118.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-118.jpg,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Calibra.html,https://www.racingsportscars.com/suffix/photo/Opel/Calibra/TJ-R.html,NA
2019,173,Cupra León TCR # - Seat L4 4v DOHC 1984 cc Turbo,NA,TCR,FEV Racing,Closed bodywork,Front-engined,Benedikt Gentgen (D)/Martin Pischinger (D)/Lukas Thiele (D)/Andre Gies (D),NA,NA,NA,27/10/2019,Thomas Morper,Cupra,León,TCR,#,Result: did not finishGrid: 68th (9:15.4260) - 69th fastest qualifier,did not finishGrid: 68th (9:15.4260) - 69th fastest qualifier,not_finished,68,9:15.4260,NA,9:15.4260,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-173.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-173.jpg,https://www.racingsportscars.com/make/photo/Cupra.html,https://www.racingsportscars.com/type/photo/Cupra/Le%c3%b3n.html,https://www.racingsportscars.com/suffix/photo/Cupra/Le%c3%b3n/TCR.html,https://www.racingsportscars.com/chassis/photo/Leon-Cupra-TCR-FEV%23.html
2019,420,Porsche Cayman GT4 Clubsport - Porsche N/A,NA,AT,Team Care for Climate,Closed bodywork,Mid-engined,Thomas Kiefer (D)/Andreas Patzelt (D)/Denis Dupont (B)/Hisanao Kurata (J),NA,NA,NA,27/10/2019,Thomas Morper,Porsche,Cayman,GT4 Clubsport,NA,Result: did not finishGrid: 70th (9:16.6690) - 71st fastest qualifier,did not finishGrid: 70th (9:16.6690) - 71st fastest qualifier,not_finished,70,9:16.6690,NA,9:16.6690,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-420.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-420.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/Cayman.html,https://www.racingsportscars.com/suffix/photo/Porsche/Cayman/GT4%20Clubsport.html,NA
2019,144,Porsche Cayman (Typ 981) - Porsche N/A,NA,V5,,Closed bodywork,Mid-engined,Kohei Fukuda (J)/Ben Bünnagel (D)/Markus Diederich (D)/Thomas Hetzer (D),NA,NA,NA,14/07/2019,Thomas Morper,Porsche,Cayman,(Typ 981),NA,Result: did not finishGrid: 120th (10:00.7960) - 121st fastest qualifier,did not finishGrid: 120th (10:00.7960) - 121st fastest qualifier,not_finished,120,10:00.7960,NA,10:00.7960,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-144.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-144.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/Cayman.html,https://www.racingsportscars.com/suffix/photo/Porsche/Cayman/(Typ%20981).html,NA
2019,78,Porsche 997 GT3 Cup - Porsche F6 4v DOHC N/A,NA,SP6,Rent2Drive-Familia-Racing,Closed bodywork,Rear-engined,"""Der Bommel"" (D)/Dirk Vleugels (D)/Carsten Welschar (D)/Andreas Riedl (D)",NA,NA,NA,14/07/2019,Thomas Morper,Porsche,997 GT3 Cup,NA,NA,Result: did not finishGrid: 85th (9:32.1880) - 86th fastest qualifier,did not finishGrid: 85th (9:32.1880) - 86th fastest qualifier,not_finished,85,9:32.1880,NA,9:32.1880,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-078.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-078.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/997%20GT3%20Cup.html,NA,NA
