year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url
1990,167,VW Golf GTI - VW,87,Class 8,,-,-,Thomas Böhm/Dirk Bungart/Rudolf Feder,NA,NA,NA,NA,NA,VW,Golf,GTI,Result: 87th (34 laps behind the winner)Grid:,87th (34 laps behind the winner)Grid:,finished,NA,NA,34 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/GTI.html
1990,198,Honda Civic (EF9) - Honda,88,Class 9,City Speed Racing,-,-,Chris Chiles (GB)/Richard Dotkins (GB)/Paul Smith (GB),NA,NA,NA,NA,NA,Honda,Civic,(EF9),Result: 88th (35 laps behind the winner)Grid:,88th (35 laps behind the winner)Grid:,finished,NA,NA,35 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Honda.html,https://www.racingsportscars.com/type/photo/Honda/Civic.html,https://www.racingsportscars.com/suffix/photo/Honda/Civic/(EF9).html
1990,147,Opel Kadett GSi 16V - Opel,89,Class 8,Rallye Club Böblingen,Closed bodywork,Front-engined,Lothar Berkholz/Holger Berkholz/Rüdiger Koch,NA,NA,NA,NA,NA,Opel,Kadett,GSi 16V,Result: 89th (35 laps behind the winner)Grid:,89th (35 laps behind the winner)Grid:,finished,NA,NA,35 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Kadett.html,https://www.racingsportscars.com/suffix/photo/Opel/Kadett/GSi%2016V.html
1990,139,VW Golf GTI - VW,90,Class 8,,-,-,Peter Reuter (D)/Ralf Mockenhaupt/Uwe Mockenhaupt/Jörg Janke,NA,NA,NA,NA,NA,VW,Golf,GTI,Result: 90th (36 laps behind the winner)Grid:,90th (36 laps behind the winner)Grid:,finished,NA,NA,36 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/GTI.html
1990,162,Opel Kadett GSi 16V - Opel,91,Class 8,D.A.M.C. 05 e. V. (D),Closed bodywork,Front-engined,Gerd Holtkamp (D)/Markus Krauskopf (D)/Jörn Aichmann,NA,NA,NA,NA,NA,Opel,Kadett,GSi 16V,Result: 91st (37 laps behind the winner)Grid:,91st (37 laps behind the winner)Grid:,finished,NA,NA,37 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Kadett.html,https://www.racingsportscars.com/suffix/photo/Opel/Kadett/GSi%2016V.html
1990,180,Honda Civic (EF9) - Honda,92,Class 9,AMC Deuerling e. V.,-,-,Maximilian Schneider/Toni Silberkorn/Siegfried Kaser (D),NA,NA,NA,NA,NA,Honda,Civic,(EF9),Result: 92nd (37 laps behind the winner)Grid:,92nd (37 laps behind the winner)Grid:,finished,NA,NA,37 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Honda.html,https://www.racingsportscars.com/type/photo/Honda/Civic.html,https://www.racingsportscars.com/suffix/photo/Honda/Civic/(EF9).html
1990,62,Honda Civic (EF9) - Honda,93,Class 4,Herold Motorsport,-,-,Frank Herold/Friedhelm Tang/Jürgen Möhle (D),NA,NA,NA,NA,NA,Honda,Civic,(EF9),Result: 93rd (37 laps behind the winner)Grid:,93rd (37 laps behind the winner)Grid:,finished,NA,NA,37 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Honda.html,https://www.racingsportscars.com/type/photo/Honda/Civic.html,https://www.racingsportscars.com/suffix/photo/Honda/Civic/(EF9).html
1990,57,Opel Kadett GSi 16V - Opel,94,Class 3,,Closed bodywork,Front-engined,Jürgen Jansen/Hans-Martin Irnich/Karl Jonas,NA,NA,NA,NA,NA,Opel,Kadett,GSi 16V,Result: 94th (37 laps behind the winner)Grid:,94th (37 laps behind the winner)Grid:,finished,NA,NA,37 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Kadett.html,https://www.racingsportscars.com/suffix/photo/Opel/Kadett/GSi%2016V.html
1990,164,Alfa Romeo 75 TwinSpark - Alfa Romeo,95,Class 8,,-,-,Frank Klaas/Hermann Lamberty/Rolf Häring,NA,NA,NA,NA,NA,Alfa Romeo,75,TwinSpark,Result: 95th (37 laps behind the winner)Grid:,95th (37 laps behind the winner)Grid:,finished,NA,NA,37 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/75.html,https://www.racingsportscars.com/suffix/photo/Alfa%20Romeo/75/TwinSpark.html
1990,150,VW Golf GTI - VW,96,Class 8,Dortmunder MSC e. V.,-,-,Hans-Helmut Gail (D)/Bernd Küpper (D)/Helmut Arens/Uwe Bucks,NA,NA,NA,NA,NA,VW,Golf,GTI,Result: 96th (38 laps behind the winner)Grid:,96th (38 laps behind the winner)Grid:,finished,NA,NA,38 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/GTI.html
1990,142,Opel Kadett GSi 16V - Opel,97,Class 8,,Closed bodywork,Front-engined,Hans-Josef Nettesheim (D)/Werner Schlehecker (D)/Gregor Morawitz,NA,NA,NA,NA,NA,Opel,Kadett,GSi 16V,Result: 97th (38 laps behind the winner)Grid:,97th (38 laps behind the winner)Grid:,finished,NA,NA,38 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Kadett.html,https://www.racingsportscars.com/suffix/photo/Opel/Kadett/GSi%2016V.html
1990,61,Toyota Sprinter Trueno - Toyota,98,Class 4,Vamo Racing,Closed bodywork,Front-engined,"Bob Holden (AUS)/Alf Grant (AUS)/Llynden Riethmüller (AUS)/""Vabueti"" (B)",NA,NA,NA,NA,NA,Toyota,Sprinter Trueno,NA,Result: 98th (38 laps behind the winner)Grid:,98th (38 laps behind the winner)Grid:,finished,NA,NA,38 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Toyota.html,https://www.racingsportscars.com/type/photo/Toyota/Sprinter%20Trueno.html,NA
1990,160,Daihatsu Charade GTLi,99,Class 8,,-,-,Wilfried Burghartz/Klaus Müller (D)/Guido Burghartz,NA,NA,NA,NA,NA,Daihatsu,Charade,GTLi,Result: 99th (39 laps behind the winner)Grid:,99th (39 laps behind the winner)Grid:,finished,NA,NA,39 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Daihatsu.html,https://www.racingsportscars.com/type/photo/Daihatsu/Charade.html,https://www.racingsportscars.com/suffix/photo/Daihatsu/Charade/GTLi.html
1990,190,Honda Civic SI - Honda,100,Class 9,Dave Phillips Racing,-,-,Dave Phillips/Simon White/Noel White (USA),NA,NA,NA,NA,NA,Honda,Civic,SI,Result: 100th (39 laps behind the winner)Grid:,100th (39 laps behind the winner)Grid:,finished,NA,NA,39 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Honda.html,https://www.racingsportscars.com/type/photo/Honda/Civic.html,https://www.racingsportscars.com/suffix/photo/Honda/Civic/SI.html
1990,101,Ford Sierra Cosworth - Ford,101,Class 6,,-,-,Mike Price (GB)/David Gregory/Mike Rimmer,NA,NA,NA,NA,NA,Ford,Sierra,Cosworth,Result: 101st (39 laps behind the winner)Grid:,101st (39 laps behind the winner)Grid:,finished,NA,NA,39 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Sierra.html,https://www.racingsportscars.com/suffix/photo/Ford/Sierra/Cosworth.html
1990,202,Suzuki Swift - Suzuki,102,Class 10,,-,-,Joachim Hagel/Thorsten Fritz/Gerhard Raab,NA,NA,NA,NA,NA,Suzuki,Swift,NA,Result: 102nd (40 laps behind the winner)Grid:,102nd (40 laps behind the winner)Grid:,finished,NA,NA,40 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Suzuki.html,https://www.racingsportscars.com/type/photo/Suzuki/Swift.html,NA
1990,189,Toyota Corolla GT - Toyota,103,Class 9,VCB Berlin e. V.,-,-,Günter Gamalski (D)/Holger Päsler/Wolfgang Warnecke,NA,NA,NA,NA,NA,Toyota,Corolla,GT,Result: 103rd (40 laps behind the winner)Grid:,103rd (40 laps behind the winner)Grid:,finished,NA,NA,40 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Toyota.html,https://www.racingsportscars.com/type/photo/Toyota/Corolla.html,https://www.racingsportscars.com/suffix/photo/Toyota/Corolla/GT.html
