track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
spa,1970-05-17,30,Porsche 917 K #007 - Porsche 912 F12 2v DOHC 4494 cc N/A,17,S5.0,Gesipa Racing Team (D),Closed bodywork,Mid-engined,/Jürgen Neuhaus (D)/Helmut Kelleners (D),GESIPA RIVETS/BLINDNIETE,blue (+yellow),Dunlop,29/06/2018,"H-J Roegler, Frans Oestlandt, Jacques Ubags and Paul Kooyman",Porsche,917,K,#007,Result: 17th - did not finish (Collision with Wicky)Grid: 4th (3:29.7000),17th - did not finish (Collision with Wicky)Grid: 4th (3:29.7000),finished,4,3:29.7000,NA,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-030.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-030.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-007.html
spa,1970-05-17,53,Porsche 911 S #911 030 1010 - Porsche F6 2v SOHC 2300 cc N/A,18,GT+2.0,Auto Kremer (D),Closed bodywork,Rear-engined,Erwin Kremer (D)/Karl von Wendt (D),Shell/PORSCHE-KREMER,red,NA,11/03/2005,Jacques Ubags,Porsche,911,S,#911 030 1010,Result: 18th (17 laps behind the winner)Grid: 27th (4:29.7000),18th (17 laps behind the winner)Grid: 27th (4:29.7000),finished,27,4:29.7000,17 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-053.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-053.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,https://www.racingsportscars.com/chassis/photo/911%20030%201010.html
spa,1970-05-17,55,Alpine A110 1300 S - Renault L4 1300 cc N/A,19,GT2.0,Jean-Marie Jacquemin,Closed bodywork,Rear-engined,Jean-Marie Jacquemin (B)/Bernard Palayer (F),NA,blue,NA,NA,NA,Alpine,A110,1300 S,NA,Result: 19th 1st in GT2.0 (19 laps behind the winner)Grid: 28th (4:35.4000),19th 1st in GT2.0 (19 laps behind the winner)Grid: 28th (4:35.4000),finished,28,4:35.4000,19 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Alpine.html,https://www.racingsportscars.com/type/photo/Alpine/A110.html,https://www.racingsportscars.com/suffix/photo/Alpine/A110/1300%20S.html,NA
spa,1970-05-17,52,Porsche 911 - Porsche F6 2v SOHC 1991 cc N/A,20,GT2.0,Jean-Pierre Gaban (B),Closed bodywork,Rear-engined,G. van Butsel (B)/Robert Moerenhout (B),"CAMPARI
Registration: G 5771",NA,NA,NA,NA,Porsche,911,NA,NA,Result: 20th (19 laps behind the winner)Grid: 32nd (4:39.5000),20th (19 laps behind the winner)Grid: 32nd (4:39.5000),finished,32,4:39.5000,19 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,NA,NA
spa,1970-05-17,60,Porsche 911 S - Porsche F6 2v SOHC 1991 cc N/A,21,GT2.0,Georges Duvigneaud,Closed bodywork,Rear-engined,Georges Duvigneaud (B)/Camille Demoulin (B),NA,dark,NA,29/06/2018,H-J Roegler,Porsche,911,S,NA,Result: 21st (21 laps behind the winner)Grid: 26th (4:29.2000),21st (21 laps behind the winner)Grid: 26th (4:29.2000),finished,26,4:29.2000,21 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-060.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-060.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,NA
spa,1970-05-17,37,Chevron B6/8 #CH-DBE-2 - BMW L4 2v SOHC 1991 cc N/A,22,P3.0,Tony Goodwin (GB),Closed bodywork,Mid-engined,Tony Goodwin (GB)/Peter Taggart (GB),NA,dark blue (+white/yellow),NA,NA,NA,Chevron,B6,/8,#CH-DBE-2,Result: 22nd (23 laps behind the winner)Grid: 29th (4:38.1000),22nd (23 laps behind the winner)Grid: 29th (4:38.1000),finished,29,4:38.1000,23 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevron.html,https://www.racingsportscars.com/type/photo/Chevron/B6.html,https://www.racingsportscars.com/suffix/photo/Chevron/B6/__8.html,https://www.racingsportscars.com/chassis/photo/CH-DBE-2.html
spa,1970-05-17,58,Porsche 911 S #118 2 0847 - Porsche F6 2v SOHC 1991 cc N/A,NA,GT2.0,Wicky Racing Team (CH),Closed bodywork,Rear-engined,André Wicky (CH)/Sylvain Garant (F),NA,NA,NA,25/06/2012,Jacques Ubags and Erik Nassen,Porsche,911,S,#118 2 0847,Result: not classified (30 laps behind the winner)Grid: 31st (4:36.1000),not classified (30 laps behind the winner)Grid: 31st (4:36.1000),other,31,4:36.1000,NA,30 laps behind the winner,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-058.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-058.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,https://www.racingsportscars.com/chassis/photo/118%202%200847.html
spa,1970-05-17,25,Porsche 917 K #017=>004 - Porsche 912 F12 2v DOHC 4907 cc N/A,NA,S5.0,J. W. Automotive Engineering (GB),Closed bodywork,Mid-engined,Pedro Rodriguez (MEX)/Leo Kinnunen (FIN),Gulf,light blue (+orange),Firestone,29/06/2018,"Jacques Ubags, Paul Kooyman and H-J Roegler",Porsche,917,K,#017=>004,"Result: did not finish (Oil pipe, gearbox)Grid: 1st (3:19.8000)","did not finish (Oil pipe, gearbox)Grid: 1st (3:19.8000)",not_finished,1,3:19.8000,NA,"Oil pipe, gearbox",https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-025.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-025.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-017.html
spa,1970-05-17,40,Chevron B8 #CH-DBE-71 - BMW L4 1991 cc N/A,NA,S2.0,Worcestershire Racing Association (GB),Closed bodywork,Mid-engined,James Tangye (GB)/Paul Ridgway (GB),NA,dark blue (+white),Dunlop,11/03/2005,Jacques Ubags,Chevron,B8,NA,#CH-DBE-71,Result: did not finish (Oil pressure)Grid: 23rd (4:27.1000),did not finish (Oil pressure)Grid: 23rd (4:27.1000),not_finished,23,4:27.1000,NA,Oil pressure,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-040.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-040.jpg,https://www.racingsportscars.com/make/photo/Chevron.html,https://www.racingsportscars.com/type/photo/Chevron/B8.html,NA,https://www.racingsportscars.com/chassis/photo/CH-DBE-71.html
spa,1970-05-17,10,Astra RNR2 #39 - Ford Cosworth FVC L4 4v DOHC N/A,NA,P2.0,Philips Autoradio Racing (GB),Open bodywork,Mid-engined,Guy Edwards (GB)/Roger Enever (GB),PHILLIPS AUTORADIO,NA,NA,25/06/2012,Erik Nassen,Astra,RNR2,NA,#39,Result: did not finish (Engine mountings)Grid: 34th (4:52.9000),did not finish (Engine mountings)Grid: 34th (4:52.9000),not_finished,34,4:52.9000,NA,Engine mountings,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-010.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-010.jpg,https://www.racingsportscars.com/make/photo/Astra.html,https://www.racingsportscars.com/type/photo/Astra/RNR2.html,NA,https://www.racingsportscars.com/chassis/photo/RNR2-39.html
